森田智己,2008,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:58.65,2008年04月18日(金)
入江陵介,2008,近畿大学,1:54.74,2009年01月25日(日)
入江陵介,2009,近畿大,1:54.02,2009年04月19日(日)
入江陵介,2010,イ ト マ ン,1:55.52,2010年04月17日(土)
入江陵介,2011,イ ト マ ン,1:54.08,2011年04月10日(日)
入江陵介,2012,ＪＡＰＡＮ,1:54.03,2012年04月07日(土)
入江陵介,2013,ＪＡＰＡＮ,1:50.63,2013年08月08日(木)
入江陵介,2014,ＪＡＰＡＮ,1:53.26,2014年09月25日(木)
入江陵介,2015,ＪＡＰＡＮ,1:54.81,2015年08月07日(金)
入江陵介,2016,ＪＡＰＡＮ,1:55.75,2016年06月11日(土)
入江陵介,2017,ｲﾄﾏﾝﾄｳｼﾝ,1:55.79,2017年07月27日(木)
入江陵介,2018,ｲﾄﾏﾝﾄｳｼﾝ,1:55.11,2018年08月23日(木)
入江陵介,2019,ｲﾄﾏﾝﾄｳｼﾝ,1:55.35,2020年01月25日(土)
入江陵介,2020,ｲﾄﾏﾝﾄｳｼﾝ,1:55.55,2020年12月06日(日)
入江陵介,2021,イトマン東進,1:55.52,2021年04月08日(木)
中野高,2008,ﾐｽﾞﾉ,1:58.10,2009年01月31日(土)
中野高,2009,ﾐｽﾞﾉ,1:56.77,2009年04月19日(日)
中野高,2010,TBSﾃﾚﾋﾞ,1:59.46,2010年06月05日(土)
中野高,2011,TBSﾃﾚﾋﾞ,2:01.14,2011年04月10日(日)
中野高,2012,林水泳教室,2:00.04,2012年04月06日(金)
