year,本多灯![](),瀬戸大也![](),森本哲平![](),阪本祐也![](),田中大貴![]()
2008,0,0,0,0,0
2009,0,1:55.31,0,0,0
2010,0,1:56.88,0,0,0
2011,0,1:55.94,0,0,0
2012,0,1:51.30,0,2:01.12,0
2013,0,1:50.93,0,1:57.29,0
2014,0,1:48.92,0,1:56.41,0
2015,0,1:51.65,0,1:54.54,0
2016,1:56.80,1:49.53,1:59.19,1:53.03,1:59.17
2017,1:55.91,1:54.50,1:58.47,1:52.61,1:54.88
2018,1:54.35,1:48.24,1:56.24,1:52.93,1:54.87
2019,1:53.45,0,1:54.15,1:52.69,1:57.60
2020,1:52.75,0,1:50.51,1:50.51,1:54.21
2021,1:49.84,1:50.36,1:51.35,1:50.87,0
2022,1:46.85,1:50.55,1:50.52,1:50.72,1:52.31
