,入江陵介,栁川大樹,金子雅紀,眞野秀成,加藤理,三浦玲央,内藤良太,松本周也,井野竜佳,坂井聖人,長谷川純矢,砂間敬太,山崎貴大,細川公平,松山陸,古賀淳也,江戸勇馬,萩野公介,松原颯,川本武史,夏目大志,西村駿弥,瀬戸大也,宇野柊平,中尾駿一,白井裕樹,多田邦徳,橋爪久司,伊与部嵩,渡邉一樹,山口雅文,氏林倭人,中野高,内田征平,阿由葉寛,竹内勇紀,宮下純一,森田智己,大林一樹,清水洋平
2008,53.93,,59.49,,,,,,,,60.19,58.03,56.54,,,54.54,,57.02,58.66,60.28,,,,,,57.12,56.84,,56.08,55.4,54.92,55.87,54.67,55.12,55.99,56.06,54.01,54.03,55.57,55.71
2009,52.37,,56.87,,58.6,,,,,,56.92,56.92,56.4,,,52.87,,55.64,55.97,57.45,,,,,,55.08,55.55,58.37,55.41,54.78,54.55,56.03,54.11,54.34,54.91,55.27,,,,
2010,53.09,,56.31,,58.32,,,,,,57.21,56.94,56.29,,,53.49,,55.24,55.82,56.87,,,,,,54.85,55.34,55.67,55.39,55.46,54.66,55.99,54.9,55.59,56.5,56.57,,,,56.2
2011,52.83,,55.88,,57.42,,,,,,56.72,56.36,55.77,,,54.39,58.37,54.83,55.29,55.58,59.37,58.9,,,59.0,53.99,55.12,55.68,54.82,54.98,54.47,55.37,55.95,,57.65,,,,,55.55
2012,52.91,,55.17,,57.17,,59.06,,,,55.88,55.12,55.25,,,54.14,,53.58,54.62,54.64,58.77,58.31,56.33,,58.55,54.22,54.47,54.64,54.53,54.76,54.85,54.79,55.81,,,,,,,57.32
2013,50.71,,54.62,,57.35,,56.72,,,,55.43,54.79,54.71,,,54.27,56.1,53.1,55.53,54.44,58.05,57.58,,59.24,57.25,53.66,54.42,54.66,55.91,55.43,,55.65,,,,,,,,
2014,52.34,,54.21,,59.34,,56.1,,,,54.93,54.96,54.96,,,54.01,55.03,52.78,55.1,54.4,58.24,55.64,,58.47,56.81,53.87,54.22,55.14,55.57,55.58,,55.3,,,,,,,,
2015,52.99,,53.56,,57.42,,56.55,,58.53,,53.77,54.93,56.06,59.23,,53.68,54.66,,54.96,54.2,57.44,55.77,55.05,56.75,56.16,54.24,,56.0,56.4,55.67,,56.15,,,,,,,,
2016,53.21,58.15,53.95,58.68,56.92,58.66,56.37,59.11,57.46,,53.49,54.36,55.84,57.76,58.32,53.49,54.83,53.08,54.12,53.61,56.43,55.34,53.98,55.78,54.44,54.62,,55.87,56.44,55.33,,55.52,,,,,,,,57.96
2017,53.02,56.88,53.8,56.89,56.38,57.71,55.2,57.73,56.79,54.7,54.22,54.58,55.23,56.76,57.05,54.57,54.99,54.12,54.88,54.1,55.91,54.52,55.09,54.42,55.47,,,57.99,57.07,,,56.08,,,,,,,,
2018,52.53,55.8,54.1,56.25,,56.5,54.74,56.79,55.94,54.48,53.95,55.09,55.35,56.7,55.74,53.6,54.53,55.46,54.27,54.24,55.37,54.79,54.68,54.97,55.33,,,58.3,,,,56.69,,,,,,,,
2019,52.59,55.34,54.12,55.56,55.14,56.26,55.31,57.3,55.73,54.96,55.23,54.48,54.58,55.68,55.52,,54.68,55.5,54.51,54.57,54.71,55.05,,55.3,55.82,,,,,,,56.01,,,,,,,,
2020,53.04,55.08,54.04,55.17,55.03,56.07,54.45,55.76,55.41,55.74,54.74,54.81,54.4,55.5,54.66,54.66,54.39,54.43,55.57,,55.85,55.53,,54.98,56.57,,,,,,,,,,,,,,,
2021,52.94,54.9,54.0,55.84,54.9,55.75,54.42,55.82,54.53,55.19,53.97,54.05,54.41,54.44,54.67,54.72,54.76,54.83,56.68,,55.5,55.24,,54.83,,,,,,,,,,,,,,,,
2022,52.83,54.35,54.42,54.47,54.59,54.62,54.69,54.9,54.95,54.97,,56.41,,,55.11,,54.97,,58.4,,,,,,,,,,,,,,,,,,,,,
