,武良竜也,花車優,間島亮太郎,松村優樹,山本聖蓮,山中祥輝,渡辺一平,高田大志,平河楓,渡辺隼斗,佐藤翔馬,日本雄也,小関也朱篤,小日向一輝,瀬戸大也,原口拓也,中村優介,林和希,藤森太将,大久保琳太郎,毛利衛,押切雄大,北島康介,立石諒,渡邊一輝,大木涼平,後藤滉平,山口観弘,加納雅也,冨田尚弥,崎本浩成,岡﨑晃一郎,野村陵太,新山政樹,坂田大貴,富永航平,若月哲也,金子貴宏,大塚一輝,松島圭佑,末永雄太,斎藤勇人,櫻井佑紀,山田猛士,松枝孝男,大崎拓朗,本多勇樹,田中翼,奥山諒,朝日翔,山下誠,角川隆明,山口恭平
2008,,,,,,,,,,,,,,,,,,63.85,,,,,59.44,60.77,,,,62.65,63.03,62.78,61.71,,65.43,63.99,63.37,65.73,61.78,64.21,62.77,64.07,60.72,61.8,63.73,62.43,60.82,61.51,62.29,62.45,61.25,61.81,61.0,61.74,61.76
2009,,,,,,63.98,,,,,,,62.19,63.97,63.03,,,63.21,,64.88,,64.97,61.91,59.8,,,64.68,62.35,61.55,61.14,60.48,,62.84,62.38,63.08,,61.72,61.95,61.85,62.95,59.9,60.34,62.06,61.8,60.07,60.4,60.67,60.73,60.77,61.08,,62.73,61.39
2010,,,,,,63.72,,,,64.38,,,62.71,63.19,63.2,,64.08,62.74,64.69,63.09,65.08,64.29,59.91,59.84,,,62.46,62.35,61.72,60.6,61.98,61.43,63.14,63.74,62.6,64.26,61.42,61.28,61.74,62.59,59.93,61.21,61.39,61.62,,61.92,62.09,,63.42,64.07,,63.9,
2011,64.68,,,,,63.42,,,,63.48,,,61.95,63.0,,,64.97,63.6,,62.4,64.13,63.74,59.44,60.31,64.57,,62.15,60.98,61.94,60.93,61.13,61.18,62.44,63.57,62.04,62.63,60.72,60.97,61.48,61.5,,63.28,61.68,62.18,,62.36,,,,61.83,,,
2012,63.65,,,64.69,,61.68,64.0,,,62.71,,,60.92,61.95,,,,62.39,,63.6,63.54,62.47,58.9,59.6,63.87,64.21,61.98,59.56,62.11,61.13,60.86,60.76,61.37,62.24,61.1,61.17,,61.98,61.85,61.77,,64.82,,,,,,,,61.41,,,
2013,63.24,,,63.83,,61.37,61.89,,,61.29,,62.5,59.72,61.77,60.58,,63.99,61.1,,62.16,62.33,61.41,57.82,60.94,62.27,63.56,60.63,60.81,61.84,61.27,60.62,60.86,60.77,61.03,61.78,63.18,,63.03,62.85,,,63.2,,,,,,,,61.45,,,
2014,61.71,63.88,,62.27,,60.82,61.43,,,61.2,,61.64,59.62,60.36,,,62.66,61.41,,62.31,62.23,60.58,60.58,60.51,61.32,62.24,61.57,60.83,62.14,60.46,60.51,60.57,61.51,61.08,62.97,62.1,,64.3,62.53,,,63.12,,,,,64.47,,,61.11,,,
2015,62.14,62.99,,62.05,,61.14,54.98,64.42,63.92,60.67,64.53,62.65,59.67,60.45,62.65,,62.24,60.99,63.27,62.12,60.97,60.84,60.18,60.04,61.56,61.74,60.5,60.71,60.86,,61.95,64.4,61.25,61.33,,64.87,,63.86,63.16,,,63.73,,,,,,,,61.3,,,
2016,61.9,61.59,64.26,61.23,,60.59,59.99,62.95,62.94,60.53,63.75,62.41,58.91,60.45,61.48,,61.35,60.84,,60.99,61.3,60.54,59.62,60.36,60.44,60.59,60.78,60.87,62.18,,61.72,64.21,61.24,63.01,,,,,,,,,,,,,,,,62.24,,,
2017,60.75,61.86,62.91,61.73,,60.3,59.8,63.06,62.12,60.57,62.73,60.98,59.1,60.68,,63.58,61.97,61.2,60.33,60.66,60.64,60.91,,61.64,61.18,61.27,61.36,61.15,64.38,,,,61.76,61.08,,64.5,,,,,,,,,,,,,,62.37,,,
2018,60.97,61.32,62.37,60.96,64.06,60.84,59.78,61.64,62.35,59.97,62.07,60.68,58.86,60.38,60.82,62.19,60.53,60.62,60.68,60.81,60.82,61.29,,,60.92,62.5,,61.8,,,,,62.16,61.63,,,,,,,,,,,,,,,,64.23,,,
2019,60.23,61.01,62.02,60.55,62.27,59.63,59.58,60.37,61.07,60.04,60.32,59.72,58.89,60.19,59.79,60.31,61.93,60.98,,61.74,61.13,,,,61.57,62.43,62.21,61.46,,,,,61.8,60.66,,63.91,,,,,,,,,,,,,,,,,
2020,59.74,60.58,61.03,60.46,61.6,59.79,59.75,59.92,60.06,60.68,59.55,59.87,60.15,60.49,,60.74,63.16,61.8,,61.18,61.93,,,,61.36,62.61,62.87,61.86,,,,,62.05,60.78,,,,,,,,,,,,,,,,,,,
2021,59.31,59.72,60.46,60.28,61.08,59.64,59.76,59.86,60.19,60.17,59.18,59.66,60.09,61.45,,61.2,,61.2,61.61,61.34,60.8,,,,61.62,,,62.01,,,,,62.46,60.83,,61.95,,,,,,,,,,,,,,,,,
2022,59.64,59.71,59.9,59.92,59.95,59.98,60.02,60.12,60.2,60.25,60.54,60.52,,63.58,,,,,61.61,61.45,61.31,,,64.24,,,,,,,,,62.93,61.19,,62.53,,,,,,,,,,,,,,,,,
