,松元克央,中村克,伊藤裕馬,関海哉,田中大寛,石崎慶祐,須田悠介,五味智信,難波暉,眞野秀成,松井浩亮,塩浦慎理,溝畑樹蘭,川根正大,吉田冬優,柳本幸之介,高橋航太郎,坂田怜央,甲斐耕輔,伊東隼汰,小堀勇氣,江原騎士,丸山徹,古賀淳也,萩野公介,小長谷研二,小松巧,伊藤健太,荒木優介,原田蘭丸,藤井拓郎,川内勇輝,伊澤賢司,外舘祥,箕成貴之,伊藤真,平井健太,名倉和希,松田丈志,葛原俊輔,奥村幸大,岸田真幸,山元啓照,内田翔,内田征平,蛭田尚宏,日原将吾,佐藤久佳,細川大輔,山本晴基
2008,,53.37,,,,,,,,,,51.2,,,,,,,,,,,,,,49.71,,50.09,,49.65,49.01,49.77,,51.94,50.77,49.71,,50.56,,50.28,49.35,,50.72,50.5,50.73,50.3,50.79,49.7,50.09,50.13
2009,,,,,,,,,,,,49.85,,,,,,,,,,,,,52.7,49.53,,49.99,,49.11,48.73,50.4,,50.34,49.97,49.47,,50.05,50.86,49.81,49.46,,49.64,50.35,49.34,49.56,49.71,50.53,,50.08
2010,,51.44,,,,,,,,,,50.08,,,,,,52.76,,,50.38,51.36,51.09,50.96,51.67,50.41,,49.75,,49.67,49.12,50.65,,50.98,50.05,49.72,51.77,50.49,50.35,49.5,49.65,49.77,49.94,50.07,51.17,,50.69,50.15,,50.45
2011,,50.29,,,,,,,52.83,,,48.85,,,,,,51.55,,,49.73,51.47,50.62,,51.31,49.31,52.16,48.78,52.16,49.57,48.95,49.73,51.83,49.74,50.22,49.96,52.02,49.79,49.6,50.24,50.06,,50.23,50.93,,,50.09,50.56,,
2012,51.77,49.95,,,,,,,52.36,,,49.1,,,,,,50.68,,,49.98,50.77,50.21,,49.96,48.99,50.55,48.7,52.3,49.77,49.12,49.56,50.31,50.32,50.11,50.16,49.49,49.83,,51.7,50.26,50.26,50.62,50.69,,,50.48,50.71,,
2013,50.79,49.04,,,,,,,51.8,,50.66,48.56,52.32,,51.1,,,49.92,52.29,,49.78,50.75,49.9,,49.77,49.57,50.79,48.92,52.4,50.3,49.34,49.61,50.32,49.43,49.59,49.67,49.79,50.33,50.08,,,51.79,50.53,,,,,50.06,,
2014,50.24,48.7,,,,,,,51.27,,50.0,48.69,50.78,,50.65,,51.45,49.28,51.05,,50.62,50.27,49.83,50.01,48.75,48.99,50.65,49.66,50.39,49.19,49.38,49.7,49.82,50.1,50.38,,50.21,50.27,50.44,,,,50.17,,,,,50.96,,
2015,50.39,48.41,,51.8,,52.17,,,50.15,,50.63,48.69,50.03,,50.38,,,49.37,51.12,,49.56,49.9,49.48,49.8,50.33,50.3,49.52,49.57,49.56,49.58,50.8,50.24,50.31,50.78,50.77,,50.97,50.54,50.85,,,,50.75,51.35,,,,,,
2016,49.84,47.99,,50.72,51.54,50.93,51.33,,49.4,,50.28,48.35,49.72,51.63,50.25,,51.41,49.5,50.62,50.5,49.5,49.8,49.81,49.25,48.88,49.07,49.46,49.57,50.32,49.84,,50.44,50.66,51.96,,,50.07,,50.43,,,50.66,51.52,,,,,,,
2017,49.02,47.87,,50.11,50.75,50.09,50.38,,49.64,,49.62,48.46,49.41,50.45,50.58,,51.17,49.47,50.35,49.76,49.42,49.45,49.5,49.51,49.57,50.29,49.79,51.41,51.1,50.12,,50.75,50.78,,,,50.22,,,,,51.63,51.73,,,,,52.19,,
2018,48.81,48.12,,49.48,50.6,49.78,50.58,,49.34,,49.59,48.68,49.09,50.03,50.04,51.67,49.82,49.43,49.45,49.51,50.12,50.35,,50.82,,50.28,50.14,,,,,,50.85,51.11,,,50.77,,,,,51.98,51.15,,,,,,,
2019,48.52,48.44,,48.95,49.76,49.3,50.63,51.03,49.14,51.92,49.22,48.54,49.1,48.83,49.79,51.02,49.27,49.79,50.41,49.67,51.15,49.82,,,,50.81,50.47,,51.8,,,,,51.61,,,,,,,,50.88,51.46,,,,,,,
2020,48.58,48.34,50.01,48.98,49.64,49.49,51.0,49.78,49.02,51.03,49.04,49.15,49.1,49.21,49.3,49.41,49.69,49.88,49.82,50.04,50.62,49.75,,,,,,,,,,,,52.06,,,,,,,,52.12,,,,,,,,
2021,48.37,48.23,50.03,48.87,49.83,49.21,49.75,49.64,48.88,50.97,49.04,49.07,49.1,49.29,49.36,49.85,49.56,49.52,49.83,49.46,,49.73,,51.15,51.34,,,,,,,,,50.87,,,,,,,,,,,,,,,,
2022,48.63,49.0,49.32,49.33,49.33,49.35,49.39,49.51,49.52,49.57,,,49.65,49.92,50.18,50.08,49.59,,50.01,,,50.22,,,,,,,,,,,,50.93,,,,,,,,,,,,,,,,
