,竹田渉瑚,井本一輝,尾﨑健太,平井彬嗣,吉田惇哉,仲光陸遥,蔵本大和,古畑海生,山口哩駈,本山空,中島涼,遠藤光,井狩裕貴,宮木宏悦,黒川紫唯,菖池竜輝,山本健志,仲家槙吾,山本耕平,高橋洸輝,南出大伸,江原騎士,谷健友,佐貫省吾,山本悠暉,小林祐馬,平井康翔,瀧口陽平,尾﨑隆太,萩野公介,宮本陽輔,佐藤祐斗,松本輝,渡邊涼太,野原聡,東隼平,橋口勝輝,中島拓海,麻生真稔,渡邉誠,土岐健一,園中良次,町田悠,巽一晃,池田翔,鈴木詳平,高瀬雅和,松田丈志,上西秀長,栗田康弘,林達也,大谷彰,春日祐太,井上優
2008,,,,950.14,,,,,,,,,,,,,,,960.98,,,,,,,,942.77,,,,945.0,986.5,,952.25,983.88,923.79,,,949.62,,917.82,921.18,961.17,937.41,969.52,950.41,956.22,915.67,926.81,929.83,930.35,934.52,935.5,936.15
2009,979.88,,,930.41,,,,,,,,,,,,,,,945.07,,,,,,,,931.42,,,946.52,912.83,937.07,,921.81,960.14,905.53,,,932.63,950.08,920.1,904.91,913.11,915.94,924.64,925.58,927.7,,,,932.6,938.32,949.23,969.46
2010,943.66,,,918.88,,,,,,,,,,,,,,,912.4,,,,,,,,988.43,916.37,931.88,,919.06,918.95,,928.23,961.23,911.83,,985.25,927.23,939.91,920.48,926.1,932.92,947.34,939.7,936.09,,,,,950.49,,936.08,
2011,925.02,,,914.54,,,,,,,,,,,,,,969.67,901.62,,,,,,,,941.99,907.04,929.85,,897.56,908.3,,918.59,945.62,916.11,953.7,944.02,921.17,921.66,927.0,,,939.59,932.43,931.01,,,,,,,937.62,
2012,916.22,,,904.12,,,,,,,,,,,,,,948.23,901.13,,,922.98,,,,,931.54,901.88,936.25,,913.05,909.17,,907.54,926.59,922.32,924.21,940.12,927.35,927.94,946.39,,,,947.28,937.25,,,,,,,953.13,
2013,913.09,,,900.66,932.3,,,987.66,,,977.07,,,,,,,930.74,902.64,961.99,942.84,,979.6,949.47,,961.01,,918.06,937.82,,905.27,909.56,,924.05,929.91,925.31,925.94,926.37,,,,,,,980.18,,,,,,,,,
2014,905.16,,951.77,907.27,933.35,,,959.48,,,961.46,,,,,952.0,973.97,930.26,894.8,943.49,939.74,908.49,953.32,938.48,,958.8,921.1,907.48,929.88,,920.17,919.59,949.97,913.62,922.83,927.36,943.41,938.51,,,,,,,,,,,,,,,,
2015,911.15,964.78,943.9,896.1,927.03,,,942.01,,,939.57,978.34,,,,926.47,951.76,916.41,902.52,932.94,954.11,914.66,934.04,986.46,,,928.2,913.48,928.26,905.35,917.12,919.84,922.87,,,,933.5,944.52,,,,,,,,,,,,,,,,
2016,912.3,958.54,932.12,902.25,910.41,,,941.5,,,935.49,935.02,,,,924.95,926.16,921.7,897.12,932.44,951.4,904.44,919.22,943.92,933.62,932.74,917.54,918.11,923.08,,929.83,931.45,946.88,,,,927.79,927.3,,,,,,,,,,,,,,,,
2017,904.72,942.86,940.76,909.88,913.34,,,933.68,,969.43,952.7,925.5,,,951.16,916.52,931.78,903.06,903.9,919.63,937.03,924.71,918.89,932.73,920.85,922.74,,,948.27,,955.8,,925.6,,,,939.21,941.32,,,,,,,,,,,,,,,,
2018,895.42,926.31,950.42,898.88,912.04,,,927.69,,956.38,949.59,918.95,,,947.47,914.61,921.09,920.59,905.06,929.58,918.88,912.93,915.32,919.94,930.89,923.16,942.08,,925.23,,942.3,,940.89,,,,,,,,,,,,,,,,,,,,,
2019,902.85,925.52,924.94,898.03,910.97,965.27,,924.41,981.61,948.09,920.28,920.83,,,,919.45,930.66,911.68,915.7,918.65,920.73,,935.98,929.16,953.6,924.23,,,933.47,,952.2,,927.53,,,,,,,,,,,,,,,,,,,,,
2020,906.71,915.26,911.92,911.7,908.17,953.98,947.46,922.5,965.31,954.49,917.19,931.16,,,922.36,917.44,922.4,933.85,922.96,932.78,932.45,939.56,950.32,949.56,,940.83,,,925.54,,,,947.75,,,,,,,,,,,,,,,,,,,,,
2021,895.7,908.12,906.09,907.3,922.0,936.07,938.66,918.5,950.14,926.65,913.23,915.92,918.98,919.62,919.72,922.04,,,922.71,922.01,935.85,,931.22,,,947.32,,,920.41,,,,956.43,,,,,,,,,,,,,,,,,,,,,
2022,903.83,909.23,911.11,912.29,925.83,926.48,926.53,926.59,928.06,928.14,,933.14,931.26,928.91,,937.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
