,竹原秀一,西小野皓大,眞野秀成,栁川大樹,小方颯,山下結生,内藤良太,坂井聖人,堀田恵路,伊藤智裕,入江陵介,砂間敬太,萩野公介,井野竜佳,加藤理,金子雅紀,江戸勇馬,松山陸,松原颯,丸山優稀,常盤忠靖,西村駿弥,酒井陽向,白井裕樹,渡邉一樹,瀬戸大也,多田邦徳,山崎貴大,矢澤隼人,橋爪久司,伊与部嵩,大山佳祐,片岡裕也,中野高,松井恒索,竹内勇紀,内田征平,森田智己
2008,,,,,,,,,,,114.74,126.78,125.74,,,130.72,,,123.41,,,,,120.42,118.07,,125.91,120.31,122.7,128.64,120.98,122.84,120.95,118.1,120.13,120.93,118.59,118.65
2009,,,,,,,,,,,114.02,120.31,119.71,,127.07,124.43,,,118.79,,,,,118.38,118.4,,118.17,119.89,121.11,126.09,120.68,122.96,118.98,116.77,119.55,119.55,120.36,
2010,,,,,,,,,,,115.52,123.01,118.98,,126.31,121.96,,,118.81,,128.24,130.23,,117.85,118.96,,118.07,120.93,120.08,122.48,120.61,121.5,119.48,119.46,128.82,,,
2011,,,,,,,,,128.53,,114.08,123.7,117.76,,124.79,120.83,128.61,,118.41,,124.84,126.84,,116.26,117.21,,118.94,120.09,121.23,121.71,119.53,119.96,120.41,121.14,,,,
2012,,,,,,,127.4,,124.32,,114.03,118.24,115.12,,125.88,119.97,127.35,,117.23,,125.61,122.46,,117.6,116.83,,117.54,118.34,119.23,119.83,122.24,119.86,120.23,120.04,,,,
2013,,,,,,,123.82,,122.22,,110.63,117.08,114.77,,124.85,118.96,121.58,,117.81,,121.82,123.62,,117.85,119.11,,117.68,118.87,121.32,121.19,,119.11,123.27,,,,,
2014,,,,,,,122.6,,121.16,,113.26,117.44,114.23,128.59,,116.3,119.16,,117.13,,121.49,121.04,,117.32,118.44,,116.86,118.86,121.19,123.22,,119.8,121.54,,,,,
2015,,,,,,,123.2,,122.64,,114.81,117.16,116.1,125.79,,116.7,117.1,,118.05,124.22,120.58,120.14,126.76,117.47,119.04,120.99,,121.86,,125.94,,120.64,122.17,,,,,
2016,,127.46,,125.33,,,122.33,,120.4,,115.75,116.16,118.29,121.74,,116.52,119.17,,117.19,122.98,119.76,119.75,124.66,117.76,119.33,119.5,,121.29,,123.48,,123.11,123.85,,,,,
2017,,124.39,121.76,122.23,,127.24,119.22,,120.99,,115.79,118.09,116.39,122.16,,117.16,119.84,122.7,118.24,122.57,119.7,119.4,119.84,,,,,120.87,,,,121.86,127.53,,,,,
2018,124.09,121.5,121.28,121.44,,126.02,119.93,,119.88,124.52,115.11,115.54,117.18,119.87,,118.5,118.69,121.56,117.39,121.28,120.09,120.23,120.78,,,120.47,,120.67,,,,122.75,,,,,,
2019,120.1,120.53,120.03,119.55,123.0,122.9,117.97,119.23,120.26,122.74,115.35,116.06,117.79,119.03,122.22,120.35,118.05,120.62,117.58,119.41,,121.6,119.61,,,,,120.14,,,,122.75,,,,,,
2020,118.88,119.64,119.13,119.53,,120.44,119.18,118.9,121.67,121.01,115.55,116.05,115.84,118.6,119.11,118.9,119.02,119.02,119.19,120.64,,119.23,119.11,,,124.66,,120.26,,,,124.99,,,,,,
2021,117.33,118.75,118.3,119.21,120.79,120.07,118.58,117.2,119.3,121.07,115.52,116.22,116.62,118.19,118.79,121.22,119.16,120.0,122.35,,,121.25,119.32,,,120.48,,121.34,,,,125.0,,,,,,
2022,117.0,117.74,117.78,118.76,118.93,118.99,119.0,119.0,119.01,119.1,,121.42,,119.35,119.11,,119.82,120.84,129.97,,,,121.09,,,,,,,,,,,,,,,
