,本多灯,森本哲平,寺田拓未,寺門弦輝,松田龍,小方颯,幌村尚,松田武大,丹保陸,田中大貴,瀬戸大也,小堀勇気,阪本祐也,平野柊生,小堀勇氣,渡会舜,坂井聖人,安井大樹,梅本雅之,大坂将史,矢島優也,松田健志,猪狩雄哉,三好悠介,岩田睦生,平井健太,松田丈志,伊藤瑞輝,深谷皇,萩野公介,木村勇太,公門和輝,安江貴哉,金田和也,坂田龍亮,佐野秀匡,野沢拓矢,前田浩史,中山武久,瀬田寛人,木村悠人,日髙郁弥,宇津木尚史,西尾裕樹,森洋介,柴田隆一,山本貴司,入江晋平,秋山佳史,高本翔太
2008,,,,,,,,,,,,118.19,,,,,,,,,,,,,,126.03,114.42,,121.82,,120.32,,,118.5,116.9,,118.06,120.76,117.79,118.08,121.98,,117.95,119.87,118.45,115.41,116.43,117.57,117.57,117.84
2009,,,,,,,,,,,,115.51,,,,,123.54,,121.17,123.61,,,,,,121.99,113.87,,118.88,,115.6,,,116.46,115.3,,117.84,118.33,117.95,116.3,121.13,,116.63,117.09,117.1,,,118.63,117.97,
2010,,,,,,,,,,,,,,,117.55,,122.16,,121.84,125.08,,125.09,,,,122.04,115.18,125.8,118.51,,119.37,124.74,,116.34,116.06,116.4,117.45,119.58,118.82,117.77,118.12,118.27,118.94,,118.67,,,123.47,119.97,
2011,,,,,,,,,,,116.82,,,,115.08,,118.49,,121.82,122.27,122.93,123.22,,,,116.62,114.12,121.81,118.91,,118.05,122.78,123.6,116.89,115.11,116.33,117.32,117.86,117.72,120.58,,118.62,,,119.95,,,120.71,,
2012,,,122.67,,,,,,,,119.31,,,,115.71,119.79,117.05,,120.8,119.3,122.91,125.41,,121.42,,116.47,114.01,119.79,117.53,,117.19,119.3,120.99,115.39,115.88,115.9,117.29,117.47,117.67,121.17,,125.22,,,118.64,,,120.25,,
2013,,,120.69,,,,123.66,,,,110.96,,123.35,,115.51,119.25,116.78,,119.47,118.2,117.99,,,,124.55,115.82,112.34,117.63,116.72,119.16,117.03,117.05,117.27,,,,,118.51,,118.93,,,,,119.24,,,,,
2014,,,119.06,,,,119.11,,,,114.08,,121.62,,117.32,118.25,115.15,124.4,117.9,117.62,116.38,,119.13,117.48,120.65,115.27,116.94,118.32,116.35,116.57,117.9,118.84,120.14,,,,,122.04,,120.31,,,,,,,,,,
2015,,,117.74,,,,115.81,,,,114.46,,119.43,,118.28,117.46,114.24,120.41,115.72,118.44,115.33,,116.81,117.54,118.42,116.82,116.02,117.81,118.52,119.03,118.96,118.66,121.9,,,,,,,122.43,,120.35,,,,,,,,
2016,121.83,,117.62,,123.83,,115.98,122.24,,122.17,114.14,,117.8,,,117.51,113.4,118.46,117.37,117.33,116.29,121.01,118.75,117.12,116.96,117.11,117.14,117.27,118.28,118.69,,120.09,,,,,,,,,,120.99,,,,,,,,
2017,119.14,124.48,116.34,,124.55,,113.9,123.12,,118.19,114.03,,116.74,122.13,119.12,116.79,113.71,117.8,115.45,116.56,115.35,116.96,116.82,115.86,118.79,117.36,,117.59,119.58,122.53,,,,,,,,,,,,,,,,,,,,
2018,117.98,120.39,116.04,121.94,121.48,122.04,113.79,121.02,,117.62,114.34,,117.76,,119.87,116.57,115.06,117.45,116.02,116.53,114.72,116.61,116.97,123.58,118.11,,,,,121.41,,,,,,,,,,,,,,,,,,,,
2019,115.31,117.39,115.99,119.75,119.9,120.03,115.25,123.03,122.58,115.53,113.86,,117.5,120.33,117.96,118.73,115.48,116.64,116.65,116.78,117.0,120.89,117.22,119.92,118.28,,,,121.08,,,,,,,,,,,,,,,,,,,,,
2020,115.32,117.69,116.41,,117.42,118.9,115.68,120.86,,117.39,116.32,,116.46,119.57,115.55,117.95,,,120.64,119.81,118.08,,,119.82,118.01,,,,122.94,,,,,,,,,,,,,,,,,,,,,
2021,113.73,115.82,115.21,,117.93,116.77,116.12,119.79,118.12,114.55,115.2,117.27,117.59,117.89,,118.5,119.51,,121.15,118.4,119.33,120.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,113.53,115.95,116.07,116.43,117.12,117.27,117.55,117.59,117.64,117.66,,,119.55,117.9,,119.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
