,松元克央,本多灯,眞野秀成,渡邊天馬,柳本幸之介,田中大寛,石崎慶祐,井狩裕貴,江原騎士,井本一輝,萩野公介,高橋航太郎,吉田啓祐,小堀勇氣,吉田冬優,瀬戸大也,坂田怜央,中村海渡,関海哉,陶山周平,天井翼,松田丈志,小松巧,松本紳吾,敦賀直哉,石橋千彰,平井健太,外舘祥,日髙郁弥,日原将吾,堀畑裕也,内田翔,奥村幸大,葛原俊輔,前田康輔,小池隆志,及川翔太,箕成貴之,物延靖記,須田智博,細川大輔,山田裕一,小島貴光,山元啓照
2008,,,,,,,,,,,115.02,,,,,,,,,,,109.69,,,,113.36,,111.65,,108.88,111.64,108.08,107.36,108.45,111.2,110.84,112.42,111.04,109.04,112.08,109.52,110.0,110.01,110.1
2009,,,,,,,,,,,109.25,,,,,,,,,,,109.13,,,,110.69,,109.61,,107.25,110.98,106.88,107.26,107.86,110.34,108.57,108.82,108.85,108.94,109.13,,,,109.79
2010,,,,,,,,,111.96,,110.13,,,108.69,,112.15,,,,,,107.01,114.44,,,110.84,114.83,110.04,110.17,108.57,109.82,108.54,107.6,107.82,110.15,110.19,,111.62,,111.66,,,,110.85
2011,,,,,,,,,111.31,,108.94,,,107.37,,108.77,113.07,,,,,107.23,112.13,,114.26,109.53,109.12,108.35,108.74,108.44,109.71,108.18,108.43,109.56,112.97,109.82,,110.49,,112.27,,,,110.73
2012,,,,,,,,,109.69,,108.52,,,107.38,113.86,109.61,111.51,,,,112.95,105.96,109.63,,113.98,108.16,107.65,108.15,109.12,108.33,108.73,108.74,109.32,110.82,,109.4,,111.19,,111.75,,,,109.4
2013,110.57,,,,,,,,108.81,,106.28,,,107.53,110.01,108.94,108.79,,,,110.1,105.23,109.6,114.45,113.23,108.33,108.18,108.05,108.6,,,,,,,113.77,,110.28,,112.66,,,,111.46
2014,108.7,,,,,,,,108.07,,105.23,111.25,,107.27,109.72,108.12,107.23,112.73,,111.81,108.82,106.98,109.49,109.92,111.44,108.6,109.06,109.32,109.13,,,,,,112.89,,,112.6,,,,,,
2015,109.1,,,,,,,,106.66,,105.82,110.39,,107.01,108.73,107.71,107.85,112.65,,111.63,107.59,107.38,108.07,108.61,108.61,109.99,109.56,110.13,109.56,,,,,,,,,,,,,,,
2016,107.67,,,,,113.46,112.75,,106.89,,105.34,110.49,113.38,107.27,108.82,108.27,108.16,110.49,113.98,108.53,107.66,106.88,108.38,,108.95,108.9,108.9,111.21,108.87,,,,,,,,,,,,,,,
2017,106.75,113.03,113.27,,,111.47,110.56,,106.72,,107.1,108.72,110.24,108.92,108.27,107.76,108.37,109.99,110.48,108.96,108.21,,108.97,,109.95,,110.43,,110.46,,,,,,,,,,,,,,,
2018,105.92,112.09,113.72,,112.24,109.72,109.16,110.42,106.35,112.56,107.83,108.54,107.02,108.48,108.34,108.7,107.61,109.53,111.03,108.58,109.42,,109.52,,110.33,,110.15,111.9,,,,,,,,,,,,,,,,
2019,105.22,112.2,112.54,111.43,109.94,109.13,109.17,109.98,107.45,110.3,108.79,108.05,108.19,110.35,108.09,106.65,108.22,108.63,108.83,109.25,109.5,,112.35,,110.81,,,112.0,,,,,,,,,,,,,,,,
2020,105.13,109.41,108.97,108.45,107.85,108.2,109.78,108.59,107.76,109.4,108.83,108.37,,108.35,108.97,109.43,109.57,109.63,111.66,109.84,,,,,,,,113.52,,,,,,,,,,,,,,,,
2021,104.65,108.04,108.39,107.44,107.45,108.34,108.62,109.0,107.12,108.88,107.72,107.93,108.42,,108.43,109.8,109.14,108.93,,109.77,,,,,,,,108.67,,,,,,,,,,,,,,,,
2022,106.46,106.89,107.63,107.88,108.34,108.42,108.73,108.74,108.83,108.86,,109.01,109.33,,108.91,109.28,,110.21,,,,,,,,,,109.23,,,,,,,,,,,,,,,,
