2008,瀬戸大也,JSS毛呂山,2:09.24,2008年06月08日(日)
2009,瀬戸大也,埼    玉,2:01.86,2009年09月13日(日)
2010,瀬戸大也,埼  玉,2:00.47,2010年09月12日(日)
2011,瀬戸大也,ＪＳＳ毛呂山,1:59.54,2011年08月28日(日)
2012,瀬戸大也,埼玉栄,1:58.83,2012年08月17日(金)
2013,瀬戸大也,早稲田大,1:52.62,2013年08月11日(日)
2014,瀬戸大也,早稲田大,1:57.08,2014年09月06日(土)
2015,瀬戸大也,ＪＳＳ毛呂山,1:56.82,2015年04月10日(金)
2016,瀬戸大也,埼  玉,1:56.90,2016年09月09日(金)
2017,瀬戸大也,ＡＮＡ,1:56.92,2017年07月26日(水)
2018,瀬戸大也,ＡＮＡ,1:56.85,2018年04月06日(金)
2019,瀬戸大也,ＡＮＡ,1:55.98,2019年11月24日(日)
2020,瀬戸大也,ＡＮＡ,1:58.62,2020年08月28日(金)
2021,瀬戸大也,JPN,1:56.22,2021年07月30日(金)
2022,瀬戸大也,JPN,1:56.22,2022年06月22日(水)
2017,小方颯,イトマン港北,2:05.19,2018年02月18日(日)
2018,小方颯,神奈川,2:03.86,2018年09月17日(月)
2019,小方颯,イトマン港北,2:00.72,2019年08月25日(日)
2020,小方颯,イトマン港北,1:59.74,2021年02月06日(土)
2021,小方颯,イトマン港北,1:58.11,2022年03月04日(金)
2022,小方颯,日本大,1:58.10,2022年08月30日(火)
2016,松本周也,伊東高校,2:06.26,2016年11月13日(日)
2017,松本周也,伊東高校,2:02.22,2017年09月23日(土)
2018,松本周也,伊東高校,2:00.58,2018年05月27日(日)
2019,松本周也,中京大,2:00.08,2019年09月07日(土)
2020,松本周也,中京大,1:58.94,2020年10月03日(土)
2021,松本周也,中京大学,1:58.84,2021年04月08日(木)
2022,松本周也,中京大,1:58.52,2022年08月30日(火)
2018,廣島偉来,東京ドーム,2:02.98,2019年02月17日(日)
2019,廣島偉来,東京ドーム,2:01.29,2019年06月01日(土)
2020,廣島偉来,淑徳巣鴨,2:02.30,2020年09月22日(火)
2021,廣島偉来,東京ドーム,1:58.30,2022年03月04日(金)
2022,廣島偉来,東京ドームＳ,1:58.57,2022年04月30日(土)
2016,本多灯,ATSC.YW,2:06.57,2017年02月19日(日)
2017,本多灯,ATSC.YW,2:05.35,2018年01月14日(日)
2018,本多灯,ATSC.YW,2:04.81,2018年11月24日(土)
2019,本多灯,日大藤沢,2:02.94,2019年11月24日(日)
2020,本多灯,ATSC.YW,2:00.39,2021年03月07日(日)
2022,本多灯,ATSC.YW,1:58.61,2022年05月15日(日)
2016,井狩裕貴,大　阪,2:04.20,2016年09月11日(日)
2017,井狩裕貴,近畿大附,2:03.49,2017年08月17日(木)
2018,井狩裕貴,イ ト マ ン,2:00.48,2019年02月10日(日)
2019,井狩裕貴,近畿大学,1:59.27,2019年09月07日(土)
2020,井狩裕貴,近畿大学,1:59.61,2020年10月03日(土)
2021,井狩裕貴,近畿大,1:59.52,2021年10月09日(土)
2022,井狩裕貴,近畿大,1:58.86,2022年08月30日(火)
2018,寺門弦輝,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:05.32,2018年11月24日(土)
2019,寺門弦輝,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:03.02,2019年11月24日(日)
