,col1,瀬戸大也,小方颯,松本周也,廣島偉来,本多灯,井狩裕貴,寺門弦輝,木本憲大,宮本一平,松下知之,萩野公介,砂間敬太,入江陵介,藤森太将,溝畑樹蘭,藤森丈晴,竹内智哉,内山拓海,渡辺一平,西山雄介,大武誠之,堀田恵路,高橋航太郎,堤貴大,敦賀直哉,山田泰也,宇都宮壱基,高桑健,坂田怜央,内田仁,松田丈志,森洋介,堀畑裕也,伊与部嵩,植木拓斗,小坂悠真,佐野秀匡,水野雄介,髙橋佑太,藤井拓郎,仁木康浩,大野孝之,ﾓﾘｰﾅﾐｹﾞﾙ,大塚一輝,内田翔,庄司有太,森隆弘
2008,2008,129.24,,,,,,,,,,124.51,129.99,,128.0,,130.3,,,,,,,,128.59,,,,119.98,,125.66,,121.32,122.63,121.98,,120.8,120.49,123.1,,119.28,120.66,122.2,123.95,120.62,121.08,121.64,121.87
2009,2009,121.86,,,,,,,,,,119.26,124.5,,123.57,,125.3,,,,,,,,125.09,,,,117.24,,122.61,,118.67,120.53,,,119.59,119.62,121.11,,119.09,121.29,119.86,120.54,120.95,,,
2010,2010,120.47,,,,,,,,,,120.22,124.52,,120.71,,124.79,,,,,,,,124.16,,127.06,128.29,118.42,129.58,121.98,,121.5,119.35,,120.51,121.5,120.29,122.73,121.36,119.85,121.3,127.9,,127.05,,,
2011,2011,119.54,,,,,,,,,,119.2,123.48,,120.45,,123.05,,,,,,,,123.2,127.3,124.56,126.16,119.24,127.01,123.86,,122.66,119.45,123.9,120.73,119.12,120.07,121.19,121.55,122.38,123.01,127.8,,126.56,124.67,123.07,
2012,2012,118.83,,,,,,,,,,117.68,120.27,,120.21,127.31,123.33,128.66,,127.78,129.37,,127.76,128.17,121.44,125.63,123.03,,118.2,126.48,121.07,,119.43,119.52,119.84,120.42,120.67,,,122.07,,123.49,,,,123.85,122.11,
2013,2013,112.62,,,,,,,,128.1,,115.74,119.74,117.37,119.29,125.4,120.3,126.02,,125.46,,,127.57,122.87,119.89,123.93,123.06,,118.82,127.81,121.0,117.96,120.89,,123.96,,,,,,,,,,,,,
2014,2014,117.08,,,,,,,,126.01,,115.33,119.34,119.36,117.77,122.2,119.52,122.97,126.35,127.64,126.57,128.15,122.4,121.07,119.81,122.53,122.33,122.36,119.36,120.3,120.66,,,,124.71,,,,,,,,,,,,,
2015,2015,116.82,,,,,,,,126.77,,116.3,118.2,121.26,117.66,120.07,118.15,122.08,124.86,121.88,125.32,125.39,124.35,121.51,120.21,122.4,121.05,121.32,,,,125.23,,,125.18,,,,127.08,,,,,,,125.16,,
2016,2016,116.9,,126.26,,126.57,124.2,,,123.26,,115.07,117.81,,117.21,119.72,119.12,121.35,122.1,120.62,121.5,123.29,121.98,121.43,120.72,121.36,121.47,121.61,,,,,,,127.24,,,,128.07,,,,,,,,,
2017,2017,116.92,125.19,122.22,,125.35,123.49,,,123.58,,116.01,117.49,,117.9,120.36,118.45,120.51,121.93,120.07,121.42,120.85,120.64,120.71,122.09,123.64,121.09,123.57,,,,,,,,,,,127.05,,,,,,,,,
2018,2018,116.85,123.86,120.58,122.98,124.81,120.48,125.32,125.92,122.96,126.77,116.37,119.2,,117.91,118.42,119.21,119.17,120.08,121.04,119.87,120.0,120.94,120.16,122.57,126.98,120.28,,,,,,,,,,,,,,,,,,,,,
2019,2019,115.98,120.72,120.08,121.29,122.94,119.27,123.02,123.42,119.11,124.02,118.73,118.39,,,118.66,119.36,119.26,119.3,119.67,,120.93,122.05,120.9,123.62,,121.95,,,,,,,,,,,,,,,,,,,,,
2020,2020,118.62,119.74,118.94,122.3,120.39,119.61,121.32,126.3,119.27,121.96,117.67,117.98,,120.11,118.82,119.59,120.87,120.19,,,121.37,124.5,122.23,,,122.83,,,,,,,,,,,,,,,,,,,,,
2021,2021,116.22,118.11,118.84,118.3,,119.52,119.11,120.95,118.54,121.27,117.39,117.81,118.82,119.05,121.31,121.79,,119.52,,,120.42,120.46,120.25,,,122.12,,,,,,,,,,,,,,,,,,,,,
2022,2022,116.22,118.1,118.52,118.57,118.61,118.86,119.06,119.68,119.8,120.0,,122.92,,122.69,120.7,,,122.72,120.87,,120.82,123.02,,,,123.04,,,,,,,,,,,,,,,,,,,,,
