,井本一輝,田渕海斗,尾﨑健太,江原騎士,黒川紫唯,吉田啓祐,渡邊天馬,桐山真葵,宮木宏悦,瀬戸大也,松元克央,中島涼,井狩裕貴,柳本幸之介,遠藤光,菖池竜輝,竹田渉瑚,吉田冬優,井本元汰,萩野公介,谷健友,宮本陽輔,井上奨真,山本悠暉,天井翼,尾﨑隆太,陶山周平,松田丈志,小堀勇氣,日髙郁弥,蟹由恭平,坂井聖人,松本紳吾,平井彬嗣,佐藤祐斗,山本耕平,瀧口陽平,小松巧,外舘祥,東隼平,内田翔,茂木慧太,日原将吾,平井康翔,町田悠,小池隆志,土岐健一,土井大輔,栗田康弘,寺西謙一,池田慶太,山田裕一,川下淳太,木幡開
2008,,,,,,,,,,,,,,,,,,,,242.33,,236.52,,,,,,227.26,,,,,,246.58,,245.02,244.11,,,234.22,230.71,243.73,231.13,235.41,242.05,241.2,232.32,237.4,232.37,232.45,232.77,233.29,233.49,233.49
2009,,,,,,,,,,,,,,,,,,,,235.1,,230.96,,,,,,224.99,,,,,,236.58,243.97,241.5,235.98,,,229.05,226.83,232.17,229.52,234.13,231.38,231.31,231.87,232.25,,232.77,235.35,,235.87,233.66
2010,,,,244.01,,,,,,,,,,,,,243.09,,,,,232.24,,,,235.1,,226.59,233.16,232.33,,,,237.93,236.35,236.9,233.51,243.18,235.77,232.07,229.3,235.82,232.44,232.32,233.44,237.32,233.78,233.81,,234.73,236.02,,,234.45
2011,,,,240.5,,,,,,230.93,,,,,,,240.25,,,233.09,244.25,229.66,,,,233.6,,226.9,232.61,228.37,,238.41,,235.04,233.39,232.06,232.88,237.39,229.03,231.49,230.87,232.54,230.81,231.71,,234.08,233.12,233.12,,,,,,233.33
2012,,,,231.82,,,,,,228.78,,,,,,,236.1,244.17,,226.89,239.75,229.21,240.4,,243.55,233.11,,,,228.21,,239.48,,232.69,233.77,230.56,230.18,231.19,229.72,230.61,230.83,231.03,,241.83,,232.26,234.74,233.38,,,,,,233.7
2013,,,,229.83,,,,,,231.24,243.08,,,,,,235.67,236.54,243.01,225.42,241.5,232.3,237.9,242.73,239.16,231.72,,230.63,234.41,229.33,236.05,236.7,239.53,232.7,231.52,230.37,233.21,232.38,230.56,234.05,,234.85,,233.8,,,,238.4,,,,,,236.48
2014,,,242.4,229.86,,,,,,,239.26,240.35,,,,,235.99,235.51,243.99,223.9,239.46,229.86,233.39,238.76,229.19,231.77,,,227.59,230.44,232.61,,229.86,233.95,231.85,229.48,231.01,231.06,233.17,235.75,,,,,,,,,,,,,,239.0
2015,,,242.15,228.47,,240.05,,,,,,235.82,,,,237.41,235.4,230.93,235.29,225.19,233.18,228.58,235.42,237.11,228.92,232.43,,232.02,229.59,230.63,232.44,232.33,230.2,231.47,231.49,232.9,233.88,232.77,235.34,,,,,233.39,,,,,,,,,,
2016,,,236.27,227.43,,235.08,,,,,232.07,234.0,,,240.54,233.18,234.74,230.38,233.6,,231.84,228.42,231.64,233.94,229.64,231.37,232.7,228.4,228.6,230.29,231.16,231.51,,231.8,233.82,233.61,232.57,,,,,,,234.5,,,,,,,,,,
2017,237.46,,234.88,227.18,238.52,231.64,243.78,,,232.36,232.41,234.21,,,237.31,232.99,230.26,229.88,232.36,227.3,233.1,230.26,232.53,231.62,228.99,231.45,231.84,,,233.06,232.26,232.32,,233.21,,233.24,,,,,,,,,,,,,,,,,,
2018,235.78,243.48,237.07,226.64,234.34,228.51,,,,,232.44,236.23,,,235.78,233.4,230.62,230.87,230.52,227.2,230.08,230.45,230.71,232.2,232.64,232.45,232.65,,242.81,,,,,233.51,,232.37,,,,,,,,,,,,,,,,,,
2019,233.54,238.64,234.05,228.07,230.67,227.1,238.5,240.53,,228.19,230.92,231.12,231.53,235.19,234.5,230.67,229.76,230.74,231.1,231.21,234.88,231.87,,234.39,234.74,234.62,240.26,,,,,233.96,,232.26,,232.71,,,,,,,,,,,,,,,,,,
2020,229.89,,231.8,230.36,229.97,245.92,231.41,236.36,234.23,,229.52,229.01,231.69,231.04,231.29,231.45,231.65,234.25,233.41,,238.67,,,,,236.74,,,,,,,,233.6,,234.67,,,,,,,,,,,,,,,,,,
2021,229.41,229.29,229.62,227.74,227.58,228.4,229.09,233.24,230.83,,226.88,227.0,230.34,233.18,232.0,230.89,230.56,233.46,235.56,,235.96,,,243.77,,235.51,,,,,,,,232.85,,,,,,,,,,,,,,,,,,,,
2022,228.71,229.63,230.2,230.29,230.36,230.67,231.23,232.24,232.57,232.69,,233.7,233.12,233.32,234.42,233.21,,241.3,,,,,,,,,,,,,,241.86,,,,,,,235.86,,,,,,,,,,,,,,,
