,col1,瀬戸大也,本多灯,小方颯,山口哩駈,寺門弦輝,井狩裕貴,松下知之,田渕海斗,廣島偉来,上川畑英,宮本一平,松田龍,萩野公介,藤森丈晴,村田翔,竹内智哉,本庄智貴,内山拓海,松本周也,渡辺一平,大武誠之,西山雄介,伊藤晃平,砂間敬太,川上真生,宇都宮壱基,尾﨑隆太,藤森太将,沖本凜太郎,堤貴大,伊東篤史,岡本卓也,鮫島渓太,内田仁,高橋航太郎,村川諒,伊藤慶太,森洋介,堀畑裕也,内田裕大,髙橋佑太,高桑健,本崎智久,佐野秀匡,仁木康浩,小林勇斗,森隆弘,柴田隆一,吉井純,鈴木栄吾
2008,2008,262.99,,,,,,,,,,,,264.3,270.88,,,,,,,,,,277.79,,,,270.24,261.99,276.02,,,259.78,265.58,,279.09,263.83,261.1,257.83,267.13,,263.85,258.33,257.81,259.41,259.98,257.34,257.73,259.3,260.24
2009,2009,256.91,,,,,,,,,,,,256.5,264.52,,,,,,,,,,264.91,,273.64,,264.12,265.57,266.1,274.34,,256.55,264.09,,266.5,261.35,253.31,253.69,260.25,,252.41,255.85,255.89,256.18,256.29,,,,
2010,2010,259.17,,,,,,,,,,,,256.63,258.97,,,,,,,,,,267.79,274.45,267.16,263.71,256.71,263.65,263.65,273.09,,256.54,267.92,,260.77,261.68,259.21,252.02,262.68,258.14,257.85,,,262.82,262.05,,,,
2011,2011,253.09,,,,,,,,,,,,254.58,259.25,,,,,,,,,,,271.17,266.52,261.33,256.48,261.91,265.3,274.65,277.42,260.38,263.49,271.66,259.8,260.18,261.22,252.28,259.61,260.02,,,,261.49,263.57,,,,
2012,2012,250.1,,,,,,,,,,,,250.26,254.95,275.52,273.58,,,,,,,,258.13,262.58,258.88,260.05,255.38,261.05,259.88,274.88,268.23,260.08,258.6,270.23,260.05,260.67,257.43,250.52,258.93,260.85,,,,261.67,,,,,
2013,2013,238.84,,,,,,,,,,,,247.61,253.99,267.39,271.98,274.68,,,,,272.58,,257.2,261.08,258.77,259.82,254.02,266.01,256.72,265.83,267.4,258.87,258.44,263.79,263.16,257.65,257.89,,,,,,,,,,,,
2014,2014,250.21,,,,,,,,,,271.27,,247.75,253.8,263.27,261.4,262.72,276.11,,,,267.62,274.67,258.56,262.22,260.42,259.06,254.0,261.05,258.7,262.27,263.36,257.82,257.99,258.08,258.66,,,,,,,,,,,,,,
2015,2015,248.5,,,,,269.07,,,,,261.08,271.76,248.54,253.31,258.64,259.96,260.73,268.56,,,266.23,262.38,265.3,253.98,261.81,263.9,260.04,255.01,258.5,258.8,259.47,259.56,263.07,,259.91,259.66,,,,,,,,,,,,,,
2016,2016,248.47,,,,,263.43,,,,,262.48,268.15,246.05,254.77,258.81,257.37,261.51,260.5,269.09,,261.9,259.47,259.34,260.85,260.3,259.19,259.39,259.85,263.33,265.71,,263.0,264.52,,262.76,264.09,,,,,,,,,,,,,,
2017,2017,249.14,261.55,267.44,,274.47,259.34,,272.49,,,256.45,264.41,250.45,250.9,259.13,257.1,261.52,262.06,260.55,256.91,259.23,257.62,255.84,257.34,258.03,259.83,260.38,,266.55,265.04,,262.78,265.39,,259.81,,,,,,,,,,,,,,,
2018,2018,248.79,261.09,261.5,,263.68,256.04,269.28,264.86,262.02,275.33,259.7,259.72,250.3,254.09,260.14,254.4,259.77,257.04,255.73,256.29,257.79,257.86,258.71,,,,259.61,258.05,,,,261.9,262.97,,261.71,,,,,,,,,,,,,,,
2019,2019,246.09,256.98,257.74,274.77,259.71,252.54,263.69,258.46,259.77,267.01,253.94,261.64,256.86,253.9,259.18,255.6,256.62,257.08,257.93,,260.11,,261.76,,,,260.69,,,,,266.24,267.4,,,,,,,,,,,,,,,,,
2020,2020,252.57,253.31,254.14,266.27,258.15,252.84,267.78,253.79,262.54,263.4,253.96,258.59,253.32,256.25,258.0,260.86,259.35,259.32,259.24,,266.09,,266.26,,,,261.55,,,,,,267.18,,,,,,,,,,,,,,,,,
2021,2021,249.02,250.75,254.25,258.27,254.38,251.88,258.88,251.75,256.82,256.61,254.2,256.25,,258.91,,,,258.06,259.97,,262.12,,263.33,,,,269.52,,,,,,271.91,,,,,,,,,,,,,,,,,
2022,2022,249.07,251.29,253.26,253.31,253.69,253.82,254.46,254.66,254.85,254.95,258.23,258.29,,,,,,,265.42,,263.37,,269.31,,,,,,,,,,273.88,,,,,,,,,,,,,,,,,
