,山中祥輝,高田大志,松村優樹,近江ハリー,日本雄也,山本聖蓮,渡辺隼斗,谷口卓,平河楓,新山政樹,小島健太郎,大木涼平,金谷優気,古川喜将,小関也朱篤,塩入龍斗,岡﨑晃一郎,瀬戸大也,小長谷研二,野村陵太,上野聖人,小林良,林和希,崎本浩成,本井涼,岡島佑樹,立石諒,富永航平,冨田尚弥,林佑樹,北島康介,兼成憲太,斎藤勇人,後藤滉平,山口観弘,坂田大貴,大崎拓朗,末永雄太,本多勇樹,白井宏幸,川久保昭秀,桜井孝哉,山田猛士,二宮和憲,雨谷拓矢,角川隆明,稲田正明
2008,30.73,,,,,,,,,30.08,,,,,,,,,,30.41,,29.35,30.41,28.66,29.02,30.17,28.96,,29.64,29.23,27.65,29.87,,,31.12,29.08,28.67,,28.47,29.52,28.47,29.6,29.33,28.66,28.67,28.68,28.68
2009,,,,,,,,,,29.11,,,,,,,,28.73,,29.5,28.94,28.7,29.75,27.89,29.38,28.52,27.47,,28.18,29.31,28.43,28.93,27.86,,29.59,28.83,28.05,27.91,27.5,,28.56,28.28,28.37,29.24,28.51,28.43,28.52
2010,29.47,,,,,,29.87,,,30.53,,,30.28,,29.41,,28.11,,,29.04,28.83,28.58,28.74,28.58,29.27,28.14,27.62,,28.28,30.09,27.3,29.17,27.96,29.7,28.91,28.87,28.35,27.78,28.03,28.36,28.51,28.57,28.65,29.42,28.67,,28.99
2011,29.05,,30.44,,,,29.27,,,29.14,,30.58,,,28.84,,27.95,,,28.54,28.45,28.47,29.32,27.86,28.92,28.17,27.9,28.41,28.18,28.47,,28.99,28.61,,28.39,28.16,28.36,,28.57,28.66,29.22,,29.26,,28.66,,29.12
2012,28.04,,30.3,,30.57,,29.45,,,29.43,,,29.29,,,30.45,27.53,,28.82,28.01,29.38,28.71,28.7,27.97,28.43,27.78,27.73,28.22,28.66,28.57,28.5,28.41,,28.8,27.69,28.89,,,,,,,,,,28.91,29.01
2013,28.3,,29.6,,29.49,,28.64,,,28.2,,29.02,29.15,30.2,27.95,30.08,27.42,,28.78,27.75,29.03,28.27,28.35,27.58,28.61,27.57,,28.82,28.34,27.99,26.83,27.76,28.05,28.09,28.82,28.53,,,,28.64,,,,,28.38,28.94,
2014,28.31,,28.49,,28.38,,28.29,,,27.76,30.16,28.85,28.51,29.15,27.69,28.7,27.4,28.26,28.6,27.68,28.28,,28.55,27.83,28.15,27.7,28.11,27.6,27.83,27.98,29.0,28.32,28.3,28.59,28.2,28.16,,,,,,,,,28.82,29.17,
2015,28.21,29.35,28.11,,28.7,,28.17,29.65,29.72,27.82,29.0,27.98,28.46,29.16,27.56,28.72,28.18,,,27.59,27.84,28.12,28.33,27.68,27.89,28.0,28.03,29.03,,28.37,28.5,28.7,28.8,28.24,29.25,29.29,,,29.25,,,,,,28.52,,
2016,28.17,29.62,27.94,28.78,28.52,,28.04,28.6,,28.35,29.08,27.92,28.45,28.58,27.53,28.15,27.7,,28.47,27.73,27.52,27.94,28.07,,,28.46,29.21,29.28,,29.25,,,28.64,28.5,,,,,29.49,,,,,,,,
2017,27.86,,27.65,28.21,27.83,,27.85,28.17,,27.59,28.79,27.92,28.18,28.56,27.17,27.81,27.66,27.7,27.95,27.67,,28.06,28.16,,,28.26,,28.08,,29.98,,,29.29,28.52,29.15,,28.96,,,,,,,,,,
2018,28.0,27.89,27.62,27.99,27.67,29.26,27.5,27.84,,27.37,28.17,27.82,28.26,28.41,27.07,27.71,28.03,27.49,27.81,27.95,,27.97,28.53,,,,,27.85,,,,,,,28.14,,28.73,,,,,,,,,,
2019,27.29,27.66,27.35,27.54,27.77,28.68,27.58,27.47,28.59,27.55,27.98,27.76,28.15,28.04,27.01,27.39,27.55,,28.04,27.96,,27.79,28.37,,,,,27.99,,,,,29.71,28.63,28.15,,29.45,,,,,,,,,,
2020,27.11,27.73,27.18,27.48,28.14,28.1,27.71,27.72,,27.55,28.31,27.75,27.89,27.89,27.91,,,,27.9,28.04,,28.34,,,,,,,,,,,,,28.37,,,,,,,,,,,,
2021,27.25,27.12,27.11,27.55,27.3,27.78,27.4,27.57,27.66,27.51,27.54,27.62,28.08,28.81,27.75,,28.38,,,27.86,,27.87,,,,,,27.64,,,,,,,28.72,,,,,,,,,,,,
2022,27.28,27.28,27.4,27.43,27.51,27.52,27.53,27.56,27.57,27.6,27.86,,28.74,28.02,,,27.9,,,28.06,,28.27,,,,,,27.98,,,,,,,,,,,,,,,,,,,
