,田中優弥,川本武史,井田憲吾,赤羽根康太,水沼尚輝,團頌太,田中大寛,三浦心,佐伯勇武,大塚俊貴,松元克央,難波暉,長谷川卓哉,武山健一郎,内藤大翔,中尾駿一,塩浦慎理,大林一樹,岸田真幸,安江貴哉,和田有真,瀬戸大也,長谷川純矢,河本耕平,岸一也,幸島健人,上野樹也,川口侑太,五十嵐涼,高桑健,藤井拓郎,丸山徹,池江毅隼,池端宏文,原翔太,伊藤健太,高安亮,萩野公介,安江雄輔,加藤寛樹,村松由規,兵頭洋樹,前田浩史,上田正道,大塚一平,大野孝之,富山貴士,広瀬勇気,堀田和久,入江晋平,小堀勇気,及川直樹,宮下純一,管原吉寛
2008,,,,,,,,,,,,,,,,,24.9,24.56,,,,,,23.87,25.27,,24.96,,,,,,,,25.47,24.74,24.58,,24.88,24.38,25.57,,,25.07,25.2,25.39,24.41,25.2,24.94,25.18,24.59,24.61,24.7,24.71
2009,,25.13,,,,,,,,,,,,,,,25.16,23.69,23.72,,,,,23.46,25.02,,24.52,25.6,,,,25.85,,24.11,24.65,,23.45,,24.68,24.41,,,,25.0,24.52,23.54,24.07,24.76,24.2,24.19,24.47,24.48,,
2010,,25.51,25.12,,,,,,,,,,,,,,,,,,,,,23.85,25.5,,24.44,,,25.0,,25.36,,24.35,24.89,24.57,23.88,,25.0,24.54,24.73,25.29,25.66,25.16,24.79,24.28,24.16,24.37,24.71,25.78,,,,
2011,,25.07,24.96,,,,,,,26.17,,,,,,,,24.08,23.82,26.08,,24.55,,23.91,25.58,,24.45,25.09,,,,24.87,,24.23,23.95,,23.92,25.4,25.3,23.92,24.81,25.21,,24.19,24.25,24.37,24.41,24.41,25.01,,,24.77,,
2012,,25.29,24.34,,,,,,,25.41,,,,,,25.41,,,24.76,25.11,24.62,,,23.91,25.16,25.44,,24.54,25.66,25.44,,24.66,25.8,24.2,23.82,25.14,23.9,,,24.21,24.41,24.44,24.51,24.94,,24.64,,,,,,,,25.41
2013,,25.0,24.25,,,,,,25.95,25.5,25.75,,,,,,23.78,,23.89,24.01,24.72,,24.62,23.98,24.92,25.05,25.34,24.19,26.0,24.51,24.4,24.91,,24.1,23.87,24.36,23.9,23.92,24.11,24.22,24.75,24.79,24.48,,,24.94,,,,,,,,
2014,25.73,23.7,24.16,,25.26,,,,25.68,24.96,,,,,,,23.95,24.24,23.76,24.22,24.61,24.2,24.28,23.67,24.24,24.94,24.29,24.41,25.41,24.16,24.03,24.17,24.91,23.67,23.89,24.0,24.12,,24.5,24.37,24.43,24.62,24.57,25.17,,24.61,,,,,,,,25.71
2015,25.59,23.57,23.86,25.19,,25.9,,,25.4,25.12,25.04,24.7,,,,24.22,24.14,,23.63,23.94,24.67,,24.16,23.77,24.22,25.15,24.13,24.34,24.81,24.15,23.87,24.1,24.14,24.35,25.46,24.19,24.2,,,24.31,24.76,24.9,24.58,,,24.85,,,,,,,,25.92
2016,24.7,23.67,23.86,24.84,24.41,25.5,,,,24.88,,24.6,24.67,24.98,,23.9,,,23.49,24.98,24.89,,24.36,23.93,24.08,24.71,24.01,24.13,24.34,24.34,,24.72,24.51,24.99,,,24.72,,,,24.45,,24.6,,,25.34,,,,,,,,25.79
2017,24.25,23.58,23.7,24.74,23.88,24.87,24.61,24.41,,24.86,,24.38,24.59,24.77,,23.57,,,23.8,23.73,24.34,24.09,23.5,23.8,23.96,24.02,24.57,,24.19,24.53,,,24.15,,,,24.25,,,24.73,24.8,,,,,24.82,,,,,,,,25.68
2018,23.69,23.51,23.4,24.07,23.92,24.32,24.09,23.88,,24.49,,24.05,24.09,24.55,25.14,23.47,,,23.83,23.69,23.83,23.91,,23.98,24.04,24.29,,,,24.58,,,24.0,,,,24.29,,,24.81,24.85,,,,,25.13,,,,,,,,25.52
2019,23.35,23.4,23.27,23.96,23.42,24.33,23.65,23.72,24.51,24.3,,23.94,23.96,24.06,24.47,23.56,23.62,23.75,23.81,23.84,24.22,,,,23.98,24.95,24.47,,,,,,24.12,,24.85,24.5,24.42,24.77,,24.62,25.04,,,,,24.72,,,,,,,,
2020,23.35,23.6,23.91,23.8,23.51,24.26,,23.92,23.61,24.52,,24.4,23.81,23.87,23.87,24.29,,24.63,23.94,24.01,,,,,24.26,,,,,,,,,,,,23.99,,,24.79,,,,,,,,,,,,,,
2021,23.21,23.17,23.46,23.43,23.32,24.06,24.49,23.66,23.41,23.6,23.5,23.68,24.0,24.12,24.09,24.3,,,23.86,24.28,,,,,23.75,,,,,,,,,,,,,,,24.68,,,,,,,,,,,25.16,,,
2022,23.19,23.34,23.45,23.54,23.6,23.69,23.69,23.73,23.75,23.81,24.3,23.87,24.08,,24.53,23.89,,,,,,,,,,,,,,,,,,,,,,,,24.57,,,,,,,,,,,,,,
