,須田悠介,松井浩亮,松本周也,塩浦慎理,今野太介,中村克,坂井孝士郎,川﨑駿,田中大寛,川根正大,難波暉,石黒智基,関海哉,中尾駿一,松元克央,田中優弥,大山知章,木野和樹,岸田真幸,榎本真大,金子竜大,古賀淳也,伊藤健太,小長谷研二,川内勇輝,冨田一穂,原田蘭丸,荒木優介,石井諒,内田仁,山元啓照,堀田和久,川口侑太,伊藤真,外舘祥,藤井拓郎,北島康介,柿沼慎二,村松由規,釘井翔,小林拓矢,内山慎太郎,山本晴基,名倉和希,内田征平,佐藤久佳
2008,,,,23.7,,24.44,,,,,,,,,,,,,22.69,,,,22.65,22.79,22.56,,22.8,,24.3,24.46,23.02,23.11,23.8,22.38,23.98,,,23.86,,23.61,22.96,23.48,22.88,23.08,,22.63
2009,,,,22.83,,23.23,,,,,,,,,,,,,,,,22.39,22.33,22.95,22.56,24.16,22.55,,23.96,23.65,22.73,22.5,23.55,22.19,23.46,,,23.78,23.17,23.14,22.72,23.36,22.99,22.58,22.61,23.13
2010,,,,22.53,,23.27,,24.35,,,,,,,,,,,22.11,,,,22.38,22.99,22.98,23.93,22.6,,23.09,23.35,23.25,22.72,23.6,22.44,23.68,23.18,,24.01,22.96,23.15,22.53,22.93,22.97,23.44,23.29,23.16
2011,,24.08,,22.11,,22.9,,23.81,,,24.28,,,,,,,,22.81,,,,22.28,22.83,22.62,23.08,22.8,24.03,23.12,,23.29,22.54,23.44,22.57,22.99,22.62,,23.63,23.11,22.86,,23.14,23.74,22.95,,23.17
2012,,23.33,,22.16,,22.83,,23.3,,,23.86,,,24.31,,,,23.92,22.58,,,,22.05,22.72,22.44,22.88,22.85,23.68,22.91,,23.1,23.01,22.74,22.42,22.94,22.84,,22.77,22.84,22.96,,23.6,23.87,22.98,,23.01
2013,,22.85,,22.03,,22.54,,23.08,,,23.62,,,24.12,23.52,,,23.8,22.71,,,,22.21,23.11,22.24,23.09,22.94,23.78,,23.13,22.84,22.92,23.06,22.53,22.73,22.79,22.82,22.94,23.53,,,23.91,23.95,23.1,,23.14
2014,,22.58,,21.88,,22.3,24.11,22.98,,,23.14,23.74,,23.65,23.04,,,23.83,23.07,23.94,24.04,22.71,22.16,23.08,22.21,22.89,22.78,23.09,23.32,22.67,22.7,22.71,22.75,,,,,,23.28,,24.08,23.43,23.82,23.22,,23.36
2015,24.08,22.55,,22.04,,21.9,23.82,22.91,,24.08,22.85,,23.81,23.17,23.48,,,22.93,22.78,23.26,23.85,,22.48,22.96,22.54,22.57,22.63,22.79,22.82,,23.12,23.04,23.11,,,,,,23.5,,24.09,23.49,,23.36,,
2016,23.61,22.59,,22.01,,22.03,23.02,22.39,,23.5,22.56,23.82,23.51,22.15,23.5,24.02,23.76,22.65,23.48,23.07,23.39,22.46,22.32,22.63,22.69,23.87,22.73,22.83,23.28,,23.09,23.8,23.06,,,,,,23.24,,,23.65,23.96,24.04,,23.64
2017,23.38,22.42,,21.97,23.74,21.87,22.6,22.47,23.03,22.83,22.29,23.08,23.61,22.02,,23.91,23.75,22.42,22.47,22.6,23.05,22.43,22.94,23.2,22.93,23.49,22.7,,23.35,,23.27,23.72,,,,,,,23.32,,23.71,23.62,,,,23.81
2018,23.28,22.06,23.54,21.99,23.18,22.0,22.33,23.17,23.15,22.4,22.34,22.7,23.0,22.15,22.67,23.24,23.12,22.34,22.63,22.32,22.61,,,23.58,23.69,23.75,,23.71,23.42,,23.02,,,,,,,,23.54,,,23.38,,,,
2019,23.15,21.88,23.41,21.67,23.35,22.26,22.11,22.57,22.92,22.16,22.34,22.69,22.66,22.14,22.64,22.92,22.72,22.32,22.55,23.21,22.72,,22.98,23.24,,23.58,,23.02,23.18,,22.86,,,,23.47,,,,,,,23.51,,,,
2020,23.14,22.05,23.05,21.96,22.67,22.18,22.03,22.36,,22.16,22.11,22.66,22.51,22.71,22.61,22.28,22.58,22.86,22.85,23.43,22.95,22.77,,22.86,,,,23.11,,,23.11,,,,,,,,,,,23.97,,,,
2021,22.68,22.04,22.99,21.91,22.51,21.97,22.04,22.49,23.04,22.12,22.02,22.36,22.41,22.42,22.48,22.93,23.08,22.96,22.66,23.38,22.51,22.7,,,,,,23.41,23.55,,23.08,,,,,,,,,,,23.62,,,,
2022,22.09,22.09,22.13,22.14,22.19,22.22,22.24,22.28,22.31,22.37,22.48,22.54,22.49,22.65,,,23.74,,,23.32,,23.75,,,,,,,,,23.17,,,,,,,,,,,23.7,,,,
