,黒川紫唯,竹田渉瑚,宮木宏悦,田渕海斗,尾﨑健太,井本一輝,平井彬嗣,山口哩駈,江原騎士,中山響,中島涼,遠藤光,尾﨑隆太,山本耕平,吉田惇哉,井狩裕貴,吉田啓祐,松元克央,井本元汰,谷健友,宮本陽輔,仲家槙吾,豊田壮,瀧口陽平,平井康翔,菖池竜輝,佐藤祐斗,萩野公介,渡邊涼太,日髙郁弥,東隼平,野原聡,土井大輔,土岐健一,木幡開,麻生真稔,鈴木詳平,松田丈志,内田翔,町田悠,園中良次,小島涼太朗,小林勇斗,高橋真,日原将吾,上西秀長,森芳慎平,林達也,栗田康弘,西尾裕樹,山口将弘
2008,,,,,,,507.06,,,,,,,507.67,,,,,,,505.38,,,,498.85,,527.29,,510.07,,489.48,521.76,503.96,488.62,,500.58,499.68,484.19,,513.44,489.29,499.53,499.5,,,494.75,495.61,496.11,496.4,497.25,498.16
2009,,520.94,,,,,492.78,,,,,,,500.54,,,,,,,487.75,,,,490.14,,500.17,512.27,496.51,,480.38,512.4,493.5,482.62,503.89,493.09,488.55,469.65,477.58,481.97,483.44,483.89,484.58,485.25,486.39,,502.9,495.95,,,496.22
2010,,501.57,,,,,489.97,,,,,,488.24,483.47,,,,,,,477.93,,,482.46,500.68,,490.92,,491.69,,481.5,509.15,497.11,480.15,489.51,490.83,488.76,,500.24,493.71,491.0,,502.93,,,,504.19,501.07,,,505.06
2011,,493.01,,,,,489.55,,500.35,,,,492.06,480.31,,,,,,,476.65,516.02,,480.12,496.62,,479.9,,486.06,,483.19,501.22,487.23,487.81,488.13,489.39,489.81,,502.03,,,,503.3,,,,502.02,,,,
2012,,480.43,,,,,483.12,,490.01,,,,496.26,480.59,,,,,,,481.65,503.22,,481.63,491.62,,483.26,,483.73,492.82,490.58,488.53,493.6,496.25,,492.02,494.15,,,,,,501.09,,,,499.25,,,,
2013,,486.42,,,,,474.84,,,,520.71,,484.52,474.59,495.99,,522.12,,,520.59,483.73,495.91,513.75,484.62,,,479.01,,482.65,478.29,489.34,493.46,502.21,,,,,,,,,,499.17,,,,491.36,,,,
2014,,481.53,,,503.56,,483.14,,479.22,,513.87,,482.9,471.88,491.57,,509.06,,513.16,507.6,482.88,491.1,507.76,476.49,486.2,509.86,476.96,,480.89,484.15,493.11,484.56,,,506.97,,,,,,,,,,,,487.05,,,,
2015,,481.65,,,499.54,502.96,472.77,,483.23,,501.59,518.15,481.26,478.33,493.8,,508.37,,,493.28,473.05,488.39,496.11,483.34,493.32,487.84,479.53,486.59,,488.63,,,,,,,,,,,,,,,,,,,,,
2016,,485.33,,,496.41,509.99,479.53,,484.02,,498.82,497.43,489.77,478.99,484.17,,505.55,,501.3,486.77,493.74,487.73,493.93,483.7,485.81,488.66,493.98,,,491.35,,,,,,,,,,,,,,,,,,,,,
2017,504.41,476.86,,,498.46,498.27,483.39,,474.16,,502.34,491.75,477.02,479.56,484.41,,492.32,,501.29,483.88,481.56,479.83,483.91,,,486.76,,,,506.3,,,,,,,,,,,,,,,,,,,,,
2018,502.42,473.01,,,497.81,492.42,479.79,,475.02,,489.29,486.54,486.33,475.24,480.5,,473.85,,479.26,476.4,480.58,481.43,492.37,,493.6,486.19,,,,,,,,,,,,,,,,,,,,,,,,,
2019,494.42,473.62,,,491.16,483.85,475.37,517.2,478.31,504.23,484.86,485.95,482.72,480.59,484.68,,476.62,479.22,481.88,491.16,485.13,484.85,487.51,,,486.35,,,,,,,,,,,,,,,,,,,,,,,,,
2020,477.58,470.57,,,484.08,478.5,486.23,511.3,493.49,490.01,484.71,490.29,483.84,484.55,476.43,478.14,,,493.83,495.3,,493.51,498.31,,,487.63,,,,,,,,,,,,,,,,,,,,,,,,,
2021,469.55,470.42,480.8,478.19,482.74,477.32,483.14,493.09,481.06,485.37,478.44,479.59,482.01,482.46,486.94,484.04,510.32,,503.29,492.96,,,,,,485.94,,,,,,,,,,,,,,,,,,,,,,,,,
2022,475.09,475.94,477.64,478.88,479.39,482.47,482.66,483.77,483.79,485.53,485.67,490.72,,,493.29,489.24,507.23,,,,,,,,,496.3,,,,,,,,,,,,,,,,,,,,,,,,,
