2008,青木玲緒樹,東京SC,1:12.72,2008年04月16日(水)
2009,青木玲緒樹,武蔵野,1:10.70,2009年08月23日(日)
2010,青木玲緒樹,東京ＳＣ,1:10.81,2010年04月17日(土)
2011,青木玲緒樹,東京ＳＣ,1:10.25,2012年01月28日(土)
2012,青木玲緒樹,東京ＳＣ,1:10.03,2012年05月25日(金)
2013,青木玲緒樹,東洋大,1:09.59,2013年09月06日(金)
2014,青木玲緒樹,東洋大,1:08.64,2014年06月19日(木)
2015,青木玲緒樹,東洋大,1:07.87,2016年01月30日(土)
2016,青木玲緒樹,東洋大,1:06.53,2017年02月19日(日)
2017,青木玲緒樹,ミキハウス,1:06.77,2017年04月13日(木)
2018,青木玲緒樹,ミキハウス,1:05.90,2018年04月05日(木)
2019,青木玲緒樹,東　京,1:06.07,2019年09月15日(日)
2020,青木玲緒樹,ミズノ,1:06.65,2020年08月29日(土)
2021,青木玲緒樹,ミズノ,1:05.19,2022年03月02日(水)
2022,青木玲緒樹,JPN,1:06.07,2022年06月20日(月)
2011,今井月,本巣ＳＳ,1:13.21,2012年03月11日(日)
2012,今井月,岐　阜,1:10.35,2012年11月11日(日)
2013,今井月,本巣ＳＳ,1:08.99,2013年05月24日(金)
2014,今井月,岐阜西,1:08.22,2014年08月23日(土)
2015,今井月,本巣ＳＳ,1:07.46,2015年04月09日(木)
2016,今井月,豊川高,1:07.27,2016年04月06日(水)
2017,今井月,豊川高,1:08.38,2017年04月13日(木)
2018,今井月,豊川高,1:07.41,2018年08月19日(日)
2019,今井月,東洋大,1:06.91,2019年09月06日(金)
2020,今井月,アクエリアス,1:08.36,2020年12月03日(木)
2021,今井月,東洋大学,1:07.37,2022年03月02日(水)
2022,今井月,東洋大,1:06.99,2022年08月29日(月)
2013,浅羽栞,VALUE SS,1:13.65,2014年01月25日(土)
2014,浅羽栞,三鷹四,1:12.66,2014年06月15日(日)
2015,浅羽栞,VALUE SS,1:10.81,2016年01月30日(土)
2016,浅羽栞,八王子,1:09.35,2016年06月25日(土)
2017,浅羽栞,VALUE SS,1:08.77,2017年08月24日(木)
2018,浅羽栞,VALUE SS,1:09.10,2018年08月24日(金)
2019,浅羽栞,VALUE SS,1:08.55,2019年04月03日(水)
2020,浅羽栞,VALUE SS,1:08.51,2021年02月04日(木)
2021,浅羽栞,早稲田大,1:08.06,2021年10月08日(金)
2022,浅羽栞,早稲田大,1:07.14,2022年08月29日(月)
2009,渡部香生子,JSS立石,1:13.48,2010年01月30日(土)
2010,渡部香生子,ＪＳＳ立石,1:09.22,2010年08月28日(土)
2011,渡部香生子,ＪＳＳ立石,1:07.10,2011年05月20日(金)
2012,渡部香生子,武蔵野,1:07.95,2012年08月20日(月)
2013,渡部香生子,ＪＳＳ立石,1:07.47,2013年04月11日(木)
2014,渡部香生子,ＪＳＳ立石,1:05.88,2014年06月19日(木)
2015,渡部香生子,早稲田大,1:06.43,2015年08月04日(火)
2016,渡部香生子,ＪＳＳ立石,1:06.57,2016年04月06日(水)
2017,渡部香生子,早稲田大,1:06.85,2017年08月22日(火)
2018,渡部香生子,早稲田大,1:06.60,2018年04月05日(木)
2019,渡部香生子,ｼﾞｪｲｴｽｴｽ,1:07.09,2019年05月30日(木)
2020,渡部香生子,ｼﾞｪｲｴｽｴｽ,1:06.78,2020年12月03日(木)
2021,渡部香生子,ＪＳＳ,1:06.51,2021年04月05日(月)
2022,渡部香生子,東　京,1:07.22,2022年09月18日(日)
2011,宮坂倖乃,コナミ北浦和,1:13.68,2011年08月27日(土)
2012,宮坂倖乃,コナミ北浦和,1:11.74,2013年01月20日(日)
2013,宮坂倖乃,コナミ北浦和,1:09.90,2013年08月28日(水)
2014,宮坂倖乃,コナミ北浦和,1:08.54,2015年02月27日(金)
2015,宮坂倖乃,コナミ北浦和,1:07.73,2015年04月09日(木)
2016,宮坂倖乃,コナミ北浦和,1:09.30,2017年02月19日(日)
2017,宮坂倖乃,コナミ北浦和,1:08.94,2017年08月24日(木)
2018,宮坂倖乃,コナミ北浦和,1:09.07,2018年04月04日(水)
2019,宮坂倖乃,明治大,1:07.95,2019年09月06日(金)
2020,宮坂倖乃,ＪＡＰＡＮ,1:07.22,2021年01月22日(金)
2021,宮坂倖乃,明治大,1:06.73,2021年10月08日(金)
2022,宮坂倖乃,埼　玉,1:07.36,2022年09月18日(日)
2012,深澤舞,厚崎,1:11.39,2012年08月23日(木)
2013,深澤舞,黒磯インター,1:11.63,2013年04月11日(木)
2014,深澤舞,黒磯インター,1:09.72,2014年08月28日(木)
2015,深澤舞,黒磯インター,1:08.69,2015年08月24日(月)
2016,深澤舞,黒磯南,1:09.33,2016年08月20日(土)
2017,深澤舞,新潟医福大,1:08.04,2017年09月01日(金)
2018,深澤舞,新潟医福大,1:08.65,2018年04月04日(水)
2019,深澤舞,新潟医福大,1:07.22,2019年07月06日(土)
2020,深澤舞,新潟医福大,1:07.61,2020年10月02日(金)
2021,深澤舞,新潟医福大職,1:07.81,2021年04月04日(日)
2022,深澤舞,新　潟,1:07.41,2022年09月18日(日)
2008,鈴木聡美,ALWAYS,1:10.49,2008年04月16日(水)
2009,鈴木聡美,山梨学院大,1:06.32,2009年09月04日(金)
2010,鈴木聡美,福  岡,1:07.09,2010年09月11日(土)
2011,鈴木聡美,山梨学院大,1:07.68,2011年04月09日(土)
2012,鈴木聡美,山梨学院大,1:06.80,2012年04月04日(水)
2013,鈴木聡美,ＪＡＰＡＮ,1:07.43,2013年04月11日(木)
2014,鈴木聡美,ミキハウス,1:06.48,2014年06月19日(木)
2015,鈴木聡美,福  岡,1:07.56,2015年09月12日(土)
2016,鈴木聡美,ミキハウス,1:06.72,2016年04月06日(水)
2017,鈴木聡美,ミキハウス,1:06.65,2017年04月13日(木)
2018,鈴木聡美,ミキハウス,1:06.40,2018年08月19日(日)
2019,鈴木聡美,ミキハウス,1:06.81,2019年05月30日(木)
2020,鈴木聡美,ミキハウス,1:07.81,2020年12月03日(木)
2021,鈴木聡美,ミキハウス,1:07.18,2021年04月05日(月)
2022,鈴木聡美,福　岡,1:07.55,2022年09月18日(日)
2015,緒方温菜,ﾙｰﾃﾙ学院,1:12.63,2015年08月19日(水)
2016,緒方温菜,熊・九州学院,1:10.87,2016年08月19日(金)
2017,緒方温菜,イ ト マ ン,1:09.21,2018年02月18日(日)
2018,緒方温菜,イ ト マ ン,1:09.04,2018年04月04日(水)
2019,緒方温菜,近畿大附,1:09.41,2019年06月23日(日)
2020,緒方温菜,ｲﾄﾏﾝ東京,1:09.37,2021年01月22日(金)
2021,緒方温菜,イトマン東京,1:07.91,2022年03月02日(水)
2022,緒方温菜,中央大,1:07.78,2022年08月29日(月)
2019,小畠優々美,NECGSC玉川,1:10.17,2020年02月16日(日)
2020,小畠優々美,NECGSC玉川,1:09.30,2021年02月04日(木)
2021,小畠優々美,白鵬女子,1:09.35,2021年08月19日(木)
2022,小畠優々美,NECGSC玉川,1:07.83,2022年08月24日(水)
2014,岡田侑奈,コナミ三田,1:12.10,2015年02月22日(日)
2015,岡田侑奈,コナミ三田,1:10.96,2015年11月20日(金)
2016,岡田侑奈,丹・ゆりのき,1:10.67,2016年08月19日(金)
2017,岡田侑奈,コナミ三田,1:12.09,2017年05月19日(金)
2018,岡田侑奈,コナミ三田,1:10.94,2018年08月24日(金)
2019,岡田侑奈,三田松聖,1:10.88,2019年06月23日(日)
2020,岡田侑奈,コナミ西宮,1:11.12,2021年03月06日(土)
2021,岡田侑奈,近畿大,1:07.92,2021年10月08日(金)
2022,岡田侑奈,近畿大,1:08.53,2022年08月29日(月)
2008,寺村美穂,ｾﾝﾄﾗﾙ流山,1:12.32,2008年06月06日(金)
2009,寺村美穂,ｾﾝﾄﾗﾙ流山,1:10.25,2009年05月17日(日)
2010,寺村美穂,ｾﾝﾄﾗﾙ流山,1:13.39,2010年05月16日(日)
2013,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:09.10,2013年05月24日(金)
2014,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:08.19,2014年04月10日(木)
2016,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:07.33,2017年02月19日(日)
2017,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:07.65,2017年04月13日(木)
2018,寺村美穂,千　葉,1:07.22,2018年09月16日(日)
2019,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:06.77,2019年08月03日(土)
2020,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:07.34,2021年01月22日(金)
2021,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:07.73,2021年04月04日(日)
2010,髙﨑有紀,横浜ＹＭＣＡ,1:13.99,2010年09月19日(日)
2011,髙﨑有紀,横浜ＹＭＣＡ,1:10.80,2011年08月28日(日)
2012,髙﨑有紀,湘南,1:10.99,2012年06月24日(日)
2012,髙﨑有紀,湘南,1:12.09,2012年08月20日(月)
2013,髙﨑有紀,湘南,1:10.68,2013年08月20日(火)
2014,髙﨑有紀,湘南,1:09.38,2014年08月20日(水)
2015,髙﨑有紀,慶應義塾大,1:10.98,2015年08月01日(土)
2016,髙﨑有紀,慶應義塾大,1:10.66,2017年02月19日(日)
