,青木玲緒樹,今井月,浅羽栞,渡部香生子,宮坂倖乃,深澤舞,鈴木聡美,緒方温菜,小畠優々美,岡田侑奈,寺村美穂,髙﨑有紀,横田早桜,関口美咲,千田舞奈美,石田華子,照喜納志帆,金藤理絵,金指美紅,松島美菜,浜野麻綾,茂木美桜,福留景子,福田愛美,佐野夏菜,平松夏奈,川辺芙美子,福留尚子,細越智,杉山沙侑南,小林明日香,越山あゆ美,杉崎可奈,田村菜々香,野瀬瞳,北川麻美,種田恵,三輪芳美,相原佳菜
2008,72.72,,,,,,70.49,,,,72.32,,,72.69,,,,69.37,72.66,68.69,69.36,74.28,69.87,70.06,73.57,,70.57,70.33,70.48,68.99,70.44,70.65,68.94,67.58,69.58,68.13,67.91,68.55,69.37
2009,70.7,,,73.48,,,66.32,,,,70.25,,,71.28,,,73.46,67.54,70.94,67.17,69.15,70.63,67.38,69.54,71.93,,68.86,68.9,69.34,69.25,68.01,69.11,68.39,67.17,67.66,68.28,68.5,70.81,
2010,70.81,,,69.22,,,67.09,,,,73.39,73.99,,69.68,,73.67,72.9,68.63,69.39,68.44,69.52,69.95,68.75,69.74,71.73,,68.45,69.29,69.97,68.5,68.87,68.88,69.0,69.1,69.26,69.53,69.49,,
2011,70.25,73.21,,67.1,73.68,,67.68,,,,,70.8,,69.98,,72.7,71.18,68.75,68.42,68.11,70.12,68.7,67.89,68.26,69.32,73.45,69.28,68.68,68.94,69.9,69.59,69.42,69.47,70.21,69.26,68.95,69.91,,
2012,70.03,70.35,,67.95,71.74,71.39,66.8,,,,,72.09,,69.36,,71.45,71.53,68.52,67.87,67.19,68.04,68.14,68.06,69.63,68.24,61.55,67.56,69.9,69.22,70.41,68.3,69.83,70.69,68.46,69.53,69.39,70.45,,
2013,69.59,68.99,73.65,67.47,69.9,71.63,67.43,,,,69.1,70.68,70.76,69.24,72.82,70.95,70.81,65.85,67.91,69.4,68.57,68.22,68.29,68.78,68.8,70.19,,69.68,69.01,69.8,69.56,,71.05,,70.78,,,,
2014,68.64,68.22,72.66,65.88,68.54,69.72,66.48,,,72.1,68.19,69.38,69.99,69.26,70.57,70.67,69.86,67.23,67.86,67.65,67.86,67.81,68.61,,71.9,70.85,,69.11,69.61,68.83,69.1,,70.52,69.53,,,,,
2015,67.87,67.46,70.81,66.43,67.73,68.69,67.56,72.63,,70.96,,70.98,69.38,67.74,71.09,69.62,70.15,66.58,67.55,66.76,68.45,69.62,68.48,,,70.22,,69.26,70.12,,69.4,,,69.29,,,,,
2016,66.53,67.27,69.35,66.57,69.3,69.33,66.72,70.87,,70.67,67.33,70.66,69.87,66.89,71.16,68.28,69.11,66.79,67.63,67.75,,69.6,,72.46,,70.35,,71.55,69.43,,,,,,,,,,
2017,66.77,68.38,68.77,66.85,68.94,68.04,66.65,69.21,,72.09,67.65,68.36,70.1,67.93,71.41,68.25,68.59,,,,,,,,,73.18,,,70.29,,,,,,,,,,
2018,65.9,67.41,69.1,66.6,69.07,68.65,66.4,69.04,,70.94,67.22,68.86,71.37,68.22,69.53,68.36,69.06,,,,,,,,,72.91,,,70.38,,,,,,,,,,
2019,66.07,66.91,68.55,67.09,67.95,67.22,66.81,69.41,70.17,70.88,66.77,68.08,70.24,67.27,68.14,68.99,,,,,,,,,,73.2,,,72.55,,,,,,,,,,
2020,66.65,68.36,68.51,66.78,67.22,67.61,67.81,69.37,69.3,71.12,67.34,67.47,68.53,69.55,69.6,69.68,,,,,,,,,,,,,71.92,,,,,,,,,,
2021,65.19,67.37,68.06,66.51,66.73,67.81,67.18,67.91,69.35,67.92,67.73,69.3,68.17,68.6,70.21,70.35,,,,,,,,,,,,,71.84,,,,,,,,,,
2022,66.07,66.99,67.14,67.22,67.36,67.41,67.55,67.78,67.83,68.53,,,,,,71.58,,,,,,,,,,,,,72.85,,,,,,,,,,
