2017,相馬あい,中京大,58.43,2018年02月03日(土)
2018,相馬あい,中京大,58.03,2018年05月27日(日)
2019,相馬あい,中京大,58.25,2019年09月07日(土)
2020,相馬あい,ミキハウス,58.47,2020年12月06日(日)
2021,相馬あい,ミキハウス,58.28,2021年04月04日(日)
2022,相馬あい,青　森,58.23,2022年09月17日(土)
2011,牧野紘子,東京ＳＣ,1:03.27,2011年11月21日(月)
2013,牧野紘子,東京ＳＣ,1:01.98,2013年04月21日(日)
2014,牧野紘子,東大附属,1:00.90,2014年06月15日(日)
2015,牧野紘子,東大附属,1:00.28,2015年09月26日(土)
2016,牧野紘子,東京ドーム,58.98,2017年02月18日(土)
2017,牧野紘子,東京ドーム,58.85,2017年08月26日(土)
2018,牧野紘子,東京ドーム,58.75,2018年04月04日(水)
2019,牧野紘子,東京ドーム,58.33,2019年07月21日(日)
2020,牧野紘子,東京ドーム,58.63,2021年02月20日(土)
2021,牧野紘子,東京ドーム,58.45,2022年01月23日(日)
2022,牧野紘子,東　京,58.27,2022年09月17日(土)
2013,飯塚千遥,銚子,1:03.36,2013年07月29日(月)
2014,飯塚千遥,ﾙﾈｻﾝｽ銚子,1:02.69,2015年02月01日(日)
2015,飯塚千遥,銚子,1:01.02,2015年08月19日(水)
2016,飯塚千遥,市立銚子,59.76,2016年08月20日(土)
2017,飯塚千遥,ﾙﾈｻﾝｽ銚子,59.16,2017年04月16日(日)
2018,飯塚千遥,ﾙﾈｻﾝｽ銚子,59.11,2018年04月04日(水)
2019,飯塚千遥,筑波大,59.04,2019年04月03日(水)
2020,飯塚千遥,筑波大,58.37,2021年02月07日(日)
2021,飯塚千遥,筑波大学,58.26,2021年04月04日(日)
2022,飯塚千遥,筑波大,58.40,2022年08月30日(火)
2016,三井愛梨,田園SS,1:02.64,2016年08月06日(土)
2017,三井愛梨,横浜サクラ,1:01.53,2017年10月08日(日)
2018,三井愛梨,横浜サクラ,59.80,2018年08月26日(日)
2019,三井愛梨,あざみ野,1:00.39,2019年08月19日(月)
2020,三井愛梨,桐蔭学園,1:00.84,2021年02月07日(日)
2021,三井愛梨,横浜サクラ,59.23,2022年02月19日(土)
2022,三井愛梨,JPN,58.67,2022年08月26日(金)
2012,長谷川涼香,東京ドーム,1:01.17,2012年08月27日(月)
2013,長谷川涼香,東京ドーム,59.71,2013年08月30日(金)
2014,長谷川涼香,東　京,58.89,2014年09月12日(金)
2015,長谷川涼香,淑徳巣鴨,58.38,2015年06月27日(土)
2016,長谷川涼香,東京ドーム,58.71,2016年04月05日(火)
2017,長谷川涼香,東京ドーム,58.60,2017年08月28日(月)
2018,長谷川涼香,東京ドーム,58.49,2018年04月04日(水)
