,相馬あい,牧野紘子,飯塚千遥,三井愛梨,長谷川涼香,池江璃花子,津田萌咲,廣下菜月,大嶋千桜,池本凪沙,小林奈央,山岸琴美,中野未夢,松本信歩,内田かりん,木津喜一花,山根優衣,大橋悠依,大本里佳,平山友貴奈,新野杏奈,植野爽音,平田茉穂,山川唯巴,星奈津美,福田智代,寺村美穂,細田梨乃,黒木満佐子,播磨季美,山口美咲,内田美希,渡辺耶唯,加藤ゆか,保志場慶,藪美涼,藤田湖奈,杉野紘子,瀧口真帆,土橋知佳,中坊彩,菊地ゆめみ,大石恵梨,中西悠子,宮本悠衣,熊崎弥生,吾郷みさき,黒木綾乃,渡邉梢,秋山夏希,土肥亜也子,奥村綾香,佐々木恵
2008,,,,,,,,,,,61.41,,,,,,,,,,,,,,59.88,,,60.95,63.73,63.36,61.13,63.37,61.69,57.89,62.75,,61.95,62.7,,60.59,61.24,60.77,61.13,58.52,58.7,60.72,60.29,59.06,59.61,58.52,58.59,59.6,61.16
2009,,,,,,,,,,,59.63,,,,,,,,,62.61,,,,,58.93,,61.07,59.09,,62.0,,,60.06,58.36,61.25,,60.29,60.34,,59.1,60.46,60.77,59.86,58.72,58.81,59.03,59.09,59.27,59.29,59.46,59.32,59.43,
2010,,,,,,,,,,,59.55,,,,,,62.41,,,61.56,,,,,59.55,58.48,60.47,58.45,62.98,61.77,,62.3,60.48,58.7,61.66,62.63,60.14,59.57,,59.3,60.35,59.88,59.95,,,63.3,60.53,,,60.48,60.84,61.14,
2011,,63.27,,,,,,,,,58.64,,63.31,,,,62.74,,,61.32,,,,,58.74,59.42,60.41,58.69,62.77,60.77,,62.02,60.52,57.8,60.24,61.55,60.42,59.56,60.94,59.71,60.17,60.25,61.48,,,,60.6,,,62.27,,,
2012,,,,,61.17,,,,,,58.61,,60.64,,,,,,62.31,60.65,63.38,63.38,63.45,,58.57,58.88,61.72,59.01,62.05,60.68,,,59.75,57.77,59.77,59.7,60.15,59.78,59.89,60.43,60.21,60.3,62.21,,,,60.07,,,,,,
2013,,61.98,63.36,,59.71,61.84,,,,,58.7,,59.5,,62.62,,62.38,,62.0,60.69,,62.84,60.87,,58.53,59.55,59.97,59.33,60.33,60.85,,61.03,59.89,58.08,59.57,59.77,59.78,60.18,61.94,,,,62.78,,,,61.65,,,,,,
2014,,60.9,62.69,,58.89,58.27,61.85,,,,59.23,,59.48,,,,60.27,,,60.54,,,60.77,60.88,58.56,59.34,59.89,59.11,60.35,59.78,59.91,59.24,59.73,,,60.01,60.46,60.37,62.57,,,,62.26,,,,,,,,,,
2015,,60.28,61.02,,58.38,57.56,61.51,,,,58.84,,59.35,63.24,62.7,,,,60.57,59.96,61.57,62.97,62.32,60.14,58.45,59.41,59.96,58.88,59.08,59.36,59.63,61.13,59.83,,,60.21,60.33,61.24,,,,,,,,,61.68,,,,,,
2016,,58.98,59.76,62.64,58.71,56.86,61.07,,,,59.06,,59.41,60.95,61.63,,59.25,,60.23,59.56,59.82,61.63,61.22,59.86,58.03,59.17,59.41,60.44,,,60.28,60.45,60.74,,,59.72,61.25,,,,,,,,,,,,,,,,
2017,58.43,58.85,59.16,61.53,58.6,56.89,60.64,,,60.74,59.47,61.33,59.69,61.75,62.06,,59.38,59.12,60.04,58.68,59.07,60.43,59.22,59.38,,,60.32,60.37,,,,,60.07,,,59.79,60.78,,,,,,,,,,,,,,,,
2018,58.03,58.75,59.11,59.8,58.49,56.08,60.29,62.8,62.52,,59.26,61.61,59.23,60.0,60.8,61.8,59.39,57.94,59.93,58.32,59.23,59.86,59.05,59.49,,,59.44,,61.12,,,,,,,59.99,,,,,,,,,,,,,,,,,
2019,58.25,58.33,59.04,60.39,58.3,,60.23,60.6,59.82,59.76,59.26,59.62,59.93,60.02,59.86,59.94,58.69,57.83,58.63,58.76,58.79,59.01,60.78,60.99,,,,,60.11,,,,,,,,,,,,,,,,,,,,,,,,
2020,58.47,58.63,58.37,60.84,57.49,59.44,58.91,60.68,60.22,,58.85,59.23,59.16,60.11,58.79,58.91,58.93,59.16,,59.32,59.2,,61.4,61.93,,,,,61.63,,,,,,,,,,,,,,,,,,,,,,,,
2021,58.28,58.45,58.26,59.23,58.18,57.77,59.17,59.23,60.94,60.6,58.61,58.68,59.01,59.12,59.15,59.57,59.57,,,59.33,59.5,,,61.3,,,59.7,,60.8,,,,,,,,,,,,,,,,,,,,,,,,
2022,58.23,58.27,58.4,58.67,58.81,58.82,58.82,58.84,58.86,58.9,,58.94,59.32,59.03,59.12,59.58,,59.5,,,,,,61.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
