,池江璃花子,池本凪沙,白井璃緒,五十嵐千尋,神野ゆめ,大嶋千桜,吉井萌萌花,今井美祈,増田葵,青木智美,酒井夏海,大本里佳,佐藤綾,山根優衣,今井月,松本弥生,植野爽音,大内紗雪,大橋悠依,高野綾,内田美希,山口美咲,西津亜紀,渡部香生子,持田早智,田尾優里香,宮本靖子,上田春佳,住吉茉莉,山﨑美里,伊藤華英,長谷川菜月,瀧口真帆,川上真央,関根理沙,萩原智子,北川麻美,田辺詔子,岩?佐代子,黒木満佐子,金子栞,山田香,浦部紀衣,岩?優,三田真希
2008,,,,57.78,,,,,,,,,,,,56.08,,,,57.9,57.46,55.25,,,,57.46,57.4,55.05,57.86,,56.4,56.44,,56.49,58.37,,55.84,58.35,56.58,57.52,56.37,55.86,56.09,56.13,56.34
2009,,,,57.01,,,,,,58.1,,,,,,55.55,,,,56.54,56.6,54.43,,,,57.44,57.13,55.09,57.05,,55.46,55.9,57.96,55.98,56.25,,57.58,55.45,55.9,56.06,56.16,,,,
2010,,,,56.61,,,,,,57.94,,58.3,57.74,57.44,,54.78,,,,56.54,56.42,56.57,,58.14,,56.79,56.71,54.87,56.35,57.21,55.4,55.89,57.04,56.02,56.03,56.01,56.32,56.27,,56.78,57.07,,,,
2011,,,,55.8,,,,,,57.29,,58.25,56.66,56.48,,54.81,,,58.16,56.34,55.42,55.61,,57.17,,57.09,56.67,54.33,56.28,57.39,55.29,55.58,56.56,55.36,55.55,56.11,56.09,56.59,,57.52,57.03,,,,
2012,,,,55.85,,,,,57.96,56.67,,57.76,56.46,57.19,,54.37,,,58.02,,55.07,55.52,,,57.63,57.16,56.1,54.0,56.09,56.67,55.1,55.21,55.49,55.58,55.65,55.78,56.58,56.3,,58.28,56.8,,,,
2013,57.92,,58.53,55.7,,,,,57.29,56.05,,57.81,56.55,56.29,,55.21,57.91,,57.25,57.17,56.07,55.51,,56.01,56.29,56.59,56.41,53.91,55.79,55.93,,,56.99,57.74,56.65,,,56.33,,,57.39,,,,
2014,55.16,,57.48,55.63,,,,,57.8,55.03,58.46,56.91,56.08,55.41,,54.57,58.34,,57.18,56.33,54.28,55.17,58.14,55.3,55.54,56.45,55.71,,56.09,55.86,,,57.13,56.96,57.84,,,57.59,,,,,,,
2015,53.99,,57.35,55.25,,,,58.23,57.69,55.15,,56.89,55.75,54.97,57.04,54.34,57.88,56.73,,56.17,54.12,54.92,56.75,54.86,55.26,55.5,55.91,,56.15,,,,56.74,58.14,57.99,,,57.22,,,,,,,
2016,53.68,57.17,55.88,55.05,,,,58.03,58.22,54.61,57.59,56.54,55.4,54.86,56.79,54.43,57.39,55.49,56.34,56.22,53.88,54.99,55.32,55.64,55.74,58.54,56.13,,,,,,56.86,57.88,,,,57.28,,,,,,,
2017,53.83,55.8,56.3,54.98,,,,57.33,57.67,54.75,,55.68,55.22,54.9,55.24,,57.26,54.91,55.11,55.51,,,56.44,56.03,56.41,,,,,,,,,,,,,,,,,,,,
2018,52.79,55.22,55.03,54.94,57.11,,,57.41,56.73,54.36,55.11,54.26,54.67,55.02,55.11,,56.66,55.41,55.84,55.84,,,55.65,56.36,56.83,,,,,,,,,,,,,,,,,,,,
2019,,54.88,54.27,54.7,56.27,57.28,58.15,56.48,56.4,54.45,54.48,54.16,54.41,55.52,54.82,54.94,55.01,55.24,,56.29,,,56.1,,56.04,,,,,,,,,,,,,,,,,,,,
2020,55.35,54.84,54.59,54.42,55.37,56.78,56.59,56.24,56.51,54.92,54.48,54.6,55.12,55.33,55.24,55.79,,56.22,,56.66,,,56.9,56.08,55.76,,,,,,,,,,,,,,,,,,,,
2021,53.98,55.44,54.57,54.1,54.91,55.83,55.61,55.83,55.66,55.11,54.32,54.36,55.15,55.17,55.88,55.69,,58.15,56.29,,,,56.54,57.41,56.06,,,,,,,,,,,,,,,,,,,,
2022,53.83,54.35,54.48,54.8,54.9,55.33,55.41,55.49,55.57,55.58,56.21,56.12,,,55.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
