,難波実夢,森山幸美,竹澤瑠珂,青木虹光,谷川亜華葉,奥園心咲,蝦名愛梨,中島千咲代,古八優季,内田真樹,佐藤千夏,山本美杏,望月絹子,梶本一花,小堀倭加,中村葵,赤嶺梨緒,和田麻里,後藤真由子,石井茉宏,笠原瑠南,増田葵,中山実穂,上田桜子,福島美里,貴田裕美,白川有紗,地田麻未,持田早智,安部優希,河田華佳,日下部玲奈,小池優媛,長田友唯,別府葵,菊池優奈,吉岡理沙,濱田結菜,菊地未愛,高橋美空,高橋美帆,五十嵐千尋,渡辺美根,藤野舞子,小口綾乃,中川彩花,新倉みなみ,熊本真季,村中みいな,大久保菜穂,末吉萌,稲垣美穂,中島華穂,小浦ひかり,太田結奈,田淵晴夏,小谷有加,安藤奈海,米永智香,中村咲子,岩下なつみ,樋口恵夢,浅山美貴,野中瑞姫,矢野友理江,中塚望,太田明成,宮部加奈子,山崎真斗香,宮澤遥,小川栞,高木咲希,横山麻美,土橋茜子,川見菜摘,八木愛美,近藤文子,兼松沙実,斉田真子
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.36,,,,,,,,1112.32,,,,,,,,,,,,1041.19,,,,,,1066.46,1067.91,1071.66,1081.48,1081.68,1095.36,1098.39,1112.26
2009,,,,,,,,,,,,,,,,,,,,,,,,,,982.45,,,,,,,,,,,,,,,,,,976.52,998.26,1046.25,,1073.7,,,,,,1090.66,,,,,988.35,,997.42,,,,1002.93,1022.61,,1002.36,1006.68,1008.92,1009.97,,,,,,,1087.54,
2010,,,,,,,,,,,,,,,,,,1020.62,,,,,,,,987.81,,1001.5,,,,,,,,,,,,,,,1022.05,,990.77,1031.29,,1044.82,,,,,,1071.03,,,,,981.57,1001.58,1014.51,1027.38,1047.72,1009.76,1008.11,1010.46,1014.59,1018.96,,1025.88,1020.61,,,,1061.23,,,,
2011,,,,,,,,,,,,,,,,,,1038.76,,,,,,,1010.55,990.51,,1002.09,,,,,,,,,,,,,,,1021.51,,997.16,1016.31,,,,,,,,1053.57,,1086.72,,,988.16,993.94,1008.08,1014.07,1015.43,1015.45,,,1025.22,,,,,,,,1053.35,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.31,,,,,,,,,,,,,,,,,,1014.65,1044.68,1046.52,1048.11,1049.94,1060.84,1068.16,1068.19,1068.43,1070.74,,,,,,,,,,,,,,,,,,,,,
2013,,1004.23,,,,,,,,,,,,,,,,1015.0,,,,,,1018.11,1029.04,1008.27,,,,1072.53,1059.33,1094.96,,,,,1033.04,,,,,,1020.61,986.32,990.64,1008.5,1019.63,1021.61,1023.9,1026.97,,,1075.69,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,998.26,,,,,,,,,996.58,,1038.52,,,,1029.6,1011.01,,1011.25,,,1013.07,1027.58,1009.54,1000.19,,,,,1047.58,,,,,,1023.07,1014.67,,1005.63,983.14,992.93,1004.03,,,,1013.41,1031.19,1014.77,,,1098.64,1051.09,,,,,,,,,,,,,,1018.09,,,,,,,,,,,,
2015,,1001.96,,,,,,,,,994.36,,1034.32,,,1042.43,,992.55,,,,,1034.52,,1002.08,1007.21,1023.75,,,,1047.43,,,,1137.52,985.92,1010.92,1011.77,1019.16,1021.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,1000.61,,,,1000.18,1022.84,,,,,,,,,,,,,1036.16,1045.12,1050.72,1059.13,1062.21,1067.83,1068.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,980.0,,1063.14,,,,,,1038.81,,1041.94,,,986.89,999.05,1021.86,,,1008.69,1001.78,1015.12,1020.65,989.1,998.07,1002.9,1008.89,1009.87,1049.52,,,,1070.85,1069.94,,1016.18,1021.77,1024.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,990.97,977.22,,1028.68,,,,,,1018.82,998.78,1004.55,1011.02,,974.22,983.71,1002.38,,988.07,992.31,996.14,1001.99,1002.02,,1003.45,1013.22,1009.08,,,,1017.72,,,,,,,1018.67,1012.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,978.82,973.74,,1006.52,,,,,1025.39,1011.11,984.47,999.34,1006.72,1027.68,971.0,992.23,998.18,1003.34,,1009.62,1009.98,,,,1023.71,,,,,,1028.79,,,,,,,1007.3,1022.65,,,,,,,,1024.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,973.8,974.63,,985.62,,,1002.43,1017.65,1005.16,1006.22,1000.79,998.92,,1010.35,976.27,994.95,1006.57,,,,,,,,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,972.97,977.6,1011.87,983.02,995.29,1005.76,1012.7,1001.08,1002.36,993.17,980.02,988.06,990.61,992.87,,1008.34,1003.55,,,,,,,,,,,,,,,,1031.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,980.45,982.24,984.61,990.74,990.84,993.67,997.42,1000.84,1005.44,1005.44,,,,1014.93,,1016.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
