,水野柚希,成田実生,弘中花音,山本千晶,古林毬菜,秀野由光,鈴木彩心,園部ゆあら,又木愛紗,小堀倭加,小西杏奈,赤瀬紗也香,白井璃緒,酒井夏海,大橋悠依,湯原利佳,関口真穂,竹内澪乃,松宮真衣,徳田藍李,後藤真由子,寺本瑠美,高橋美紀,川除結花,神村万里恵,齋藤ゆり子,杉山華彩,西脇怜奈,太田晴菜,山下安輝,大塚美優,中森千亜紀,寺川綾,酒井志穂,久保木怜,島添紗妃,小関夏奈,竹村幸,原田真衣,伊藤華英,酒井志穗,福田智代,田部井恵理,田中英里子,中村礼子,五十嵐貴美,安永愛
2008,,,,,,,,,,,,133.82,,,,,,,,,141.16,,,133.22,134.19,,,,136.85,137.56,,137.27,131.28,,137.08,133.89,134.58,132.66,133.48,129.41,129.06,129.48,134.21,132.73,128.34,132.53,133.2
2009,,,,,,,,,,,,131.4,,,141.53,,,,,,134.88,,,130.68,129.52,,,,135.62,134.15,,135.63,129.27,,134.93,132.21,133.66,132.79,131.43,130.77,128.74,129.61,131.83,132.13,,,134.15
2010,,,,,,,,,,,,129.07,,,134.66,,,,,,135.1,136.45,,132.59,128.52,135.38,,136.46,135.11,131.95,136.26,135.29,128.6,127.99,131.9,132.34,132.17,131.73,131.51,131.44,,133.29,133.88,,,,133.27
2011,,,,,140.73,,,,,,,128.56,,,133.49,136.88,,137.97,,140.31,133.85,134.7,139.7,131.65,130.44,134.23,136.4,132.57,134.94,131.66,130.62,133.99,128.01,127.98,130.52,130.89,133.31,130.95,131.26,,,132.67,132.22,,,,133.76
2012,,,,,134.05,,,,,,134.15,132.0,138.01,,134.79,132.68,,134.33,,139.87,132.33,133.68,136.51,132.85,129.52,132.92,136.71,133.86,133.81,131.81,130.69,131.92,127.73,129.59,130.51,131.02,131.18,132.91,132.84,,,133.26,133.11,,,,135.42
2013,,,,,135.51,,,,,135.45,133.3,129.37,133.05,138.39,,134.19,138.8,134.02,,134.48,131.46,133.26,134.36,132.12,131.32,131.58,135.2,131.62,132.03,132.07,130.42,132.24,,134.05,,,134.51,135.75,134.15,,,133.75,,,,,137.65
2014,,,,,134.23,141.16,,,138.58,134.7,131.88,128.76,131.67,133.62,134.02,130.83,133.08,137.01,140.31,134.06,133.57,134.11,136.39,130.51,129.76,131.37,133.16,130.3,131.69,131.87,133.59,,,132.36,,,,134.74,,,,134.59,,,,,141.24
2015,,,,,133.81,138.1,,,136.88,134.36,131.78,131.01,130.84,130.2,135.89,132.02,133.98,136.64,136.88,132.59,132.39,131.25,131.2,130.32,130.31,130.13,131.91,132.28,,132.58,135.52,,,132.89,,,,,,,,132.83,,,,,
2016,,,,,131.79,135.91,,,134.39,133.48,132.18,130.69,129.93,130.0,132.25,131.57,133.49,134.27,133.12,132.79,129.88,131.06,130.59,130.48,130.94,131.0,134.23,132.3,,136.13,135.76,,,132.73,,,,,,,,,,,,,
2017,,,,,132.51,134.38,,,132.51,134.87,131.32,130.22,129.63,128.98,130.39,130.35,132.71,135.76,134.4,133.74,130.56,129.64,129.83,,,133.97,136.68,132.91,,134.94,,,,,,,,133.18,,,,,,,,,
2018,,,137.7,,131.24,133.66,,,130.85,133.67,129.44,129.38,129.79,128.13,133.79,130.23,134.07,134.15,135.83,133.24,131.88,130.27,131.48,,,133.5,136.96,132.63,,135.18,135.9,,,,,,,134.37,,,,,,,,,
2019,,138.27,135.47,139.52,128.89,133.46,135.14,,130.35,133.35,130.5,130.73,127.87,130.08,,130.49,134.35,130.49,136.81,131.35,131.58,,132.43,,,,138.86,,,133.79,,,,,,,,,,,,,,,,,
2020,,136.7,134.97,133.9,129.95,133.8,134.08,,133.32,,130.73,132.43,129.77,129.32,132.03,129.77,132.49,132.89,133.17,,133.45,,135.53,,,,141.33,,,,,,,,,,,,,,,,,,,,
2021,131.91,132.41,133.05,131.42,130.44,132.79,132.68,134.89,132.35,132.0,129.47,131.69,131.76,132.14,132.3,,133.15,,132.43,,133.97,,136.85,,,,,,,,,,,,,,,,,,,,,,,,
2022,129.17,129.67,130.61,130.64,131.55,131.92,132.27,132.39,132.53,132.71,133.67,137.05,132.9,,,,133.52,,132.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
