,白井璃緒,難波実夢,池本凪沙,池江璃花子,永島遥,五十嵐千尋,梅木陽向,牧野紘子,小堀倭加,吉井萌萌花,増田葵,青木智美,今井美祈,望月絹子,酒井夏海,大橋悠依,高野綾,佐藤綾,長谷川鼓,柏崎清花,今井月,山根優衣,持田早智,松本弥生,大本里佳,西津亜紀,宮本靖子,丸山夏輝,山口美咲,地田麻未,上田春佳,山﨑美里,関根理沙,伊藤華英,瀧口真帆,橋口佳世,住吉茉莉,小野口由夏,伊藤愛実,星茜,佐藤恋,伊藤美織,土田湖都子,岡本佐知子,三田真希,田井中千加,浦部紀衣,高鍋絵美,中村咲子,春口沙緒里,藤野舞子
2008,,,,,,,,,,,,,,,,,122.97,,,,,,,123.58,,,124.67,,120.75,123.51,117.75,,122.26,122.53,,123.45,,124.98,126.8,121.13,127.05,122.55,125.0,123.52,119.49,120.66,121.35,121.39,121.75,121.82,122.26
2009,,,,,,123.14,,,,,,125.32,,,,,121.39,,,,,,,120.8,,,122.86,,121.14,124.06,118.32,,121.36,119.84,,121.93,123.57,119.92,125.42,120.75,119.64,123.64,122.81,121.03,,121.85,,,125.27,,122.0
2010,,,,,,121.28,,,,,,125.42,,,,,120.98,,,,,125.45,,123.23,125.08,,122.63,,122.01,123.24,118.52,122.0,120.65,119.7,121.99,122.94,122.06,123.23,121.56,121.43,121.52,121.7,121.72,122.4,,,,,122.91,,124.1
2011,,,,,,121.4,,,,,125.32,124.41,,,,,119.51,124.54,121.7,,,124.3,,119.39,124.16,,121.8,124.97,120.67,123.19,117.37,121.55,120.05,118.42,122.88,121.1,121.42,120.81,121.38,124.0,122.79,123.6,,,,,,,121.56,,123.43
2012,125.0,,,,,119.73,,123.88,,,124.48,122.4,,,,124.03,119.46,123.27,121.21,,,,,119.44,123.92,126.07,120.59,122.21,120.81,122.1,117.41,121.79,119.92,118.05,119.96,120.08,120.67,122.04,121.7,124.34,122.77,123.84,,,,,,,123.4,,
2013,125.56,,,124.49,,119.5,,124.15,,,121.66,121.99,,,,126.73,120.32,125.66,121.11,,,,121.47,120.65,125.03,123.16,120.15,121.39,120.67,122.12,119.93,120.48,120.81,,122.58,124.22,122.88,,121.78,124.03,124.98,123.87,,,,,,,,,
2014,123.96,,,119.65,,118.71,,120.98,,,123.36,119.48,,123.96,,,119.29,124.09,122.14,125.49,,120.79,119.9,120.24,121.63,122.18,119.44,121.92,120.26,120.6,,121.48,124.32,,121.42,125.78,123.29,,121.81,,123.96,122.96,,,,,,,,,
2015,,124.48,,118.01,124.59,117.75,,120.76,,,122.39,119.0,123.35,122.44,,,118.88,122.57,119.81,125.92,,119.43,118.69,119.59,121.16,121.26,119.75,120.02,120.49,121.84,,,122.99,,122.2,,,,121.61,,,,,,,,,,,,
2016,121.26,124.28,125.05,116.33,123.65,117.18,,121.54,124.75,,121.66,118.8,123.17,122.11,,122.61,119.09,123.22,120.28,121.98,120.43,120.09,118.58,119.35,119.53,120.38,120.48,123.27,,121.67,,,,,122.04,,,,121.48,,,,,,,,,,,,
2017,119.48,121.16,121.1,115.04,120.94,117.1,126.49,,121.48,,121.2,118.22,121.66,120.94,121.55,118.85,118.55,121.99,120.76,120.89,120.22,120.33,120.62,,120.79,123.82,,122.94,,121.99,,,,,,,,,123.74,,,,,,,,,,,,
2018,117.68,121.43,119.02,114.85,121.61,117.48,123.03,121.42,120.86,,119.84,117.85,121.48,121.29,122.1,117.97,118.55,121.08,119.67,120.53,,121.43,121.44,,122.29,123.51,,120.95,,,,,,,,,,,,,,,,,,,,,,,
2019,116.82,120.38,117.77,,122.13,117.88,124.62,119.03,120.09,,119.92,118.03,119.74,121.6,119.67,124.57,119.01,119.95,123.77,120.11,121.49,122.52,120.32,,,125.4,,120.15,,,,,,,,,,,,,,,,,,,,,,,
2020,118.12,120.33,118.77,,121.94,117.75,124.09,120.47,119.45,123.96,120.71,119.11,119.52,119.54,118.84,119.68,121.39,121.89,,125.81,,,,,,,,120.79,,,,,,,,,,,,,,,,,,,,,,,
2021,118.37,118.24,118.78,118.77,120.97,117.47,121.64,119.77,118.7,119.69,118.86,119.38,119.63,119.64,120.55,120.34,,,,121.9,,,120.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,117.52,118.65,118.82,119.46,119.47,119.65,119.92,120.0,120.08,120.08,120.79,124.26,120.82,121.05,123.07,121.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
