2009,大本里佳,ｲﾄﾏﾝ京都,2:21.20,2010年02月06日(土)
2010,大本里佳,イトマン京都,2:15.81,2010年11月21日(日)
2011,大本里佳,イ ト マ ン,2:16.12,2011年08月28日(日)
2012,大本里佳,京　都,2:14.35,2012年09月17日(月)
2013,大本里佳,京　都,2:14.27,2013年09月15日(日)
2014,大本里佳,イ ト マ ン,2:12.39,2014年08月24日(日)
2015,大本里佳,イ ト マ ン,2:12.05,2015年05月24日(日)
2016,大本里佳,イ ト マ ン,2:11.36,2017年02月19日(日)
2017,大本里佳,イ ト マ ン,2:11.19,2018年02月18日(日)
2018,大本里佳,イ ト マ ン,2:10.70,2019年02月10日(日)
2019,大本里佳,中央大,2:08.64,2019年05月12日(日)
2020,大本里佳,ANAｲﾄﾏﾝ,2:10.62,2021年02月06日(土)
2021,大本里佳,ＡＮＡｲﾄﾏﾝ,2:09.85,2021年04月06日(火)
2022,大本里佳,JPN,2:10.01,2022年06月20日(月)
2019,成田実生,金町ＳＣ,2:17.13,2020年02月16日(日)
2020,成田実生,金町ＳＣ,2:14.53,2021年01月24日(日)
2021,成田実生,金町ＳＣ,2:12.13,2022年03月04日(金)
2022,成田実生,東　京,2:10.27,2022年09月19日(月)
2008,大橋悠依,ｲﾄﾏﾝ彦根,2:22.18,2009年01月24日(土)
2009,大橋悠依,ｲﾄﾏﾝ彦根,2:18.96,2009年11月21日(土)
2010,大橋悠依,イトマン彦根,2:16.72,2010年08月28日(土)
2011,大橋悠依,滋　賀,2:16.32,2011年09月11日(日)
2012,大橋悠依,イトマン彦根,2:14.77,2012年05月27日(日)
2013,大橋悠依,イトマン彦根,2:13.65,2013年08月29日(木)
2014,大橋悠依,滋　賀,2:12.72,2014年09月12日(金)
2015,大橋悠依,東洋大,2:13.48,2016年01月31日(日)
2016,大橋悠依,東洋大,2:10.31,2016年09月03日(土)
2017,大橋悠依,東洋大,2:07.91,2017年07月24日(月)
2018,大橋悠依,ｲﾄﾏﾝﾄｳｼﾝ,2:08.16,2018年08月11日(土)
2019,大橋悠依,ｲﾄﾏﾝﾄｳｼﾝ,2:08.43,2019年11月24日(日)
2020,大橋悠依,ｲﾄﾏﾝﾄｳｼﾝ,2:09.59,2021年02月06日(土)
2021,大橋悠依,JPN,2:08.52,2021年07月28日(水)
2022,大橋悠依,イトマン東進,2:10.70,2022年04月30日(土)
2015,松本信歩,東京ＳＣ,2:19.71,2015年08月25日(火)
2016,松本信歩,東京ＳＣ,2:16.46,2016年11月22日(火)
2017,松本信歩,東京ＳＣ,2:17.23,2017年11月23日(木)
2018,松本信歩,東　京,2:14.86,2018年09月17日(月)
2019,松本信歩,学芸大附属,2:12.82,2019年05月25日(土)
2020,松本信歩,東京ドーム,2:13.22,2020年09月22日(火)
2021,松本信歩,早稲田大,2:11.43,2021年10月09日(土)
2022,松本信歩,早稲田大,2:11.04,2022年08月30日(火)
2015,石原愛依,白光,2:19.52,2015年07月28日(火)
2016,石原愛依,白光,2:16.28,2016年08月19日(金)
2017,石原愛依,ＫＳＧ柳川,2:14.08,2017年08月25日(金)
2018,石原愛依,ＫＳＧ柳川,2:14.91,2018年08月26日(日)
2019,石原愛依,ＫＳＧ柳川,2:13.30,2019年06月01日(土)
2020,石原愛依,神奈川大,2:14.44,2020年10月03日(土)
2021,石原愛依,神奈川大,2:12.67,2021年10月09日(土)
2022,石原愛依,神奈川大,2:13.48,2022年08月30日(火)
2017,野井珠稀,ﾀﾞﾝﾛｯﾌﾟSC,2:21.25,2018年02月18日(日)
2018,野井珠稀,ﾀﾞﾝﾛｯﾌﾟSC,2:17.67,2018年11月24日(土)
2019,野井珠稀,ﾀﾞﾝﾛｯﾌﾟSC,2:17.65,2019年08月25日(日)
2020,野井珠稀,ﾀﾞﾝﾛｯﾌﾟSC,2:16.74,2020年09月20日(日)
2021,野井珠稀,ﾀﾞﾝﾛｯﾌﾟSC,2:14.90,2022年03月04日(金)
2022,野井珠稀,湘南工大附,2:13.74,2022年06月26日(日)
2015,澤野莉子,ＳＡ新城,2:21.47,2016年02月21日(日)
2016,澤野莉子,ＳＡ新城,2:19.75,2016年08月22日(月)
2017,澤野莉子,ＳＡ新城,2:17.56,2018年02月18日(日)
2018,澤野莉子,ＳＡ新城,2:17.85,2018年05月26日(土)
2019,澤野莉子,中川西,2:15.11,2019年08月19日(月)
2020,澤野莉子,神戸野田,2:16.34,2020年11月28日(土)
2021,澤野莉子,神戸野田,2:14.65,2021年08月17日(火)
2022,澤野莉子,神戸野田,2:13.95,2022年08月15日(月)
2019,中嶋碧,ナントＳＣ,2:20.58,2019年08月22日(木)
2020,中嶋碧,ナントＳＣ,2:18.68,2020年09月12日(土)
2021,中嶋碧,城端中学校,2:14.27,2021年08月19日(木)
2022,中嶋碧,富　山,2:14.03,2022年09月19日(月)
2012,白井璃緒,日本,2:20.03,2012年08月26日(日)
2013,白井璃緒,日本,2:19.97,2014年01月20日(月)
2016,白井璃緒,日本,2:18.70,2016年08月27日(土)
2017,白井璃緒,日本,2:18.14,2018年01月21日(日)
2020,白井璃緒,東洋大,2:15.31,2021年01月24日(日)
2021,白井璃緒,東洋大,2:15.40,2021年11月13日(土)
2022,白井璃緒,ミズノ,2:14.36,2022年05月22日(日)
2018,佐藤梨央,東大附属,2:18.99,2018年09月09日(日)
2019,佐藤梨央,東大附属,2:18.06,2019年09月21日(土)
2020,佐藤梨央,東大附属,2:15.82,2020年11月07日(土)
2021,佐藤梨央,東京ＳＣ,2:14.90,2021年04月05日(月)
2022,佐藤梨央,青山学院大,2:14.55,2022年08月30日(火)
2008,寺村美穂,ｾﾝﾄﾗﾙ流山,2:24.47,2008年07月12日(土)
2009,寺村美穂,流山東部,2:14.02,2009年08月23日(日)
2010,寺村美穂,日本,2:15.11,2010年08月17日(火)
2011,寺村美穂,ｾﾝﾄﾗﾙ流山,2:12.77,2011年08月28日(日)
2012,寺村美穂,ｾﾝﾄﾗﾙ流山,2:12.95,2012年04月05日(木)
2013,寺村美穂,日本大,2:12.17,2013年06月12日(水)
2014,寺村美穂,日本大,2:11.24,2014年09月25日(木)
2015,寺村美穂,日本大,2:12.54,2015年09月05日(土)
2016,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:09.87,2016年04月07日(木)
2017,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:11.42,2018年02月11日(日)
2018,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:09.86,2018年08月11日(土)
2019,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:10.23,2019年08月04日(日)
2020,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:10.08,2021年01月24日(日)
2021,寺村美穂,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,2:09.55,2021年04月06日(火)
2012,今井月,本巣ＳＳ,2:20.40,2013年02月10日(日)
2013,今井月,本巣ＳＳ,2:18.28,2013年07月28日(日)
2014,今井月,本巣ＳＳ,2:14.95,2014年11月09日(日)
2015,今井月,本巣ＳＳ,2:13.05,2015年11月02日(月)
2016,今井月,コカ・コーラ,2:10.41,2017年01月29日(日)
2017,今井月,豊川高,2:09.99,2017年07月24日(月)
2018,今井月,豊川高,2:11.00,2018年08月17日(金)
2019,今井月,アクエリアス,2:10.61,2019年04月03日(水)
2020,今井月,東洋大,2:12.25,2020年10月03日(土)
2021,今井月,東洋大,2:12.65,2021年10月09日(土)
2010,牧野紘子,東京ＳＣ,2:23.17,2011年02月06日(日)
2011,牧野紘子,東京ＳＣ,2:17.02,2012年01月29日(日)
2012,牧野紘子,東大附属,2:14.62,2012年08月23日(木)
2013,牧野紘子,東京ＳＣ,2:16.06,2013年08月29日(木)
2014,牧野紘子,東大附属,2:12.59,2014年08月23日(土)
2015,牧野紘子,東京ドーム,2:12.16,2016年01月31日(日)
2016,牧野紘子,東大附属,2:11.16,2016年08月17日(水)
2017,牧野紘子,東京ドーム,2:13.60,2017年05月21日(日)
2018,牧野紘子,早稲田大,2:13.26,2018年09月08日(土)
2019,牧野紘子,東　京,2:12.17,2019年09月14日(土)
2020,牧野紘子,早稲田大,2:13.20,2020年08月28日(金)
2021,牧野紘子,早稲田大,2:12.86,2021年08月28日(土)
2014,一戸真央,流山南流山,2:20.58,2014年08月23日(土)
2015,一戸真央,ＪＡＰＡＮ,2:16.70,2015年08月25日(火)
2016,一戸真央,ＪＡＰＡＮ,2:16.70,2016年08月25日(木)
2017,一戸真央,ＪＡＰＡＮ,2:16.03,2017年08月25日(金)
2018,一戸真央,日本体育大,2:16.75,2018年09月08日(土)
2019,一戸真央,日本体育大,2:12.90,2019年09月07日(土)
2020,一戸真央,日本体育大,2:14.30,2020年10月03日(土)
2021,一戸真央,日本体育大,2:13.13,2021年10月09日(土)
2015,小堀倭加,相模原ＤＣ,2:21.11,2015年08月25日(火)
2016,小堀倭加,湘南工大附,2:19.65,2016年08月25日(木)
2017,小堀倭加,相模原ＤＣ,2:17.52,2018年01月21日(日)
2018,小堀倭加,湘南工大附,2:16.79,2019年02月24日(日)
2019,小堀倭加,ｾﾝﾄﾗﾙ戸塚,2:14.79,2019年06月01日(土)
2020,小堀倭加,ｾﾝﾄﾗﾙ戸塚,2:15.67,2021年02月20日(土)
2021,小堀倭加,ｾﾝﾄﾗﾙ戸塚,2:13.57,2022年01月23日(日)
2008,清水咲子,作新学院,2:19.86,2008年07月25日(金)
2009,清水咲子,作新学院,2:17.26,2009年07月24日(金)
2010,清水咲子,作新学院,2:16.28,2010年07月25日(日)
2011,清水咲子,日本体育大,2:15.95,2011年05月22日(日)
2012,清水咲子,日本体育大,2:14.30,2012年09月08日(土)
2013,清水咲子,日本体育大,2:12.70,2013年09月07日(土)
2014,清水咲子,日本体育大,2:11.92,2014年09月06日(土)
2015,清水咲子,ミキハウス,2:10.51,2016年02月21日(日)
2016,清水咲子,ミキハウス,2:11.09,2016年04月07日(木)
2017,清水咲子,ミキハウス,2:12.42,2017年04月15日(土)
2018,清水咲子,ミキハウス,2:11.79,2018年04月06日(金)
2019,清水咲子,ミキハウス,2:12.13,2020年02月09日(日)
2020,清水咲子,ミキハウス,2:11.25,2020年12月05日(土)
2009,渡部香生子,JSS立石,2:22.03,2010年01月31日(日)
2011,渡部香生子,ＪＳＳ立石,2:14.78,2012年01月29日(日)
2012,渡部香生子,ＪＳＳ立石,2:14.13,2013年01月27日(日)
2013,渡部香生子,ＪＳＳ立石,2:10.65,2014年03月02日(日)
2014,渡部香生子,ＪＳＳ立石,2:10.58,2014年09月25日(木)
2015,渡部香生子,早稲田大,2:08.45,2015年08月03日(月)
2016,渡部香生子,ＪＳＳ立石,2:10.53,2016年05月22日(日)
2017,渡部香生子,早稲田大,2:13.50,2017年07月02日(日)
2018,渡部香生子,早稲田大,2:11.49,2018年05月26日(土)
