,col1,大本里佳,成田実生,大橋悠依,松本信歩,石原愛依,野井珠稀,澤野莉子,中嶋碧,白井璃緒,佐藤梨央,寺村美穂,今井月,牧野紘子,一戸真央,小堀倭加,清水咲子,渡部香生子,横田早桜,小嶋美紅,池江璃花子,大塚美優,新野杏奈,高橋美帆,樋口恵夢,福田智代,茂木美桜,上田奈美希,谷口憂羅,加藤和,松島美菜,北川麻美,小松原彩香,五十嵐千尋,末永京香,高畑えみ,打越雅美,中岡洋子,坂井菜穂子,木下美穂,作道舞,藤野舞子,天野美沙,春口沙緒里,黒木満佐子,森下愛子
2008,2008,,,142.18,,,,,,,,144.47,,,,,139.86,,,,,140.88,,138.46,,135.59,,138.65,,134.72,,131.44,,141.72,139.42,137.71,137.48,135.95,134.74,136.09,137.69,135.18,135.22,135.45,135.54,135.7
2009,2009,141.2,,138.96,,,,,,,,134.02,,,,,137.26,142.03,,,,135.44,,135.08,139.27,130.9,138.85,136.15,,133.65,,132.24,136.18,136.23,136.61,133.48,133.41,133.8,133.87,133.89,133.99,138.4,,,134.61,
2010,2010,135.81,,136.72,,,,,,,,135.11,,143.17,,,136.28,,,,,135.46,,134.32,136.37,133.09,,135.25,,133.36,138.64,135.88,136.68,134.59,137.49,133.84,135.31,135.4,136.61,,137.56,138.49,,,136.14,
2011,2011,136.12,,136.32,,,,,,,,132.77,,137.02,,,135.95,134.78,,,,133.38,,134.79,133.53,132.44,,134.17,137.48,132.29,138.0,134.88,135.65,135.28,134.11,134.26,137.12,135.02,,,137.63,136.02,,,137.0,
2012,2012,134.35,,134.77,,,,,,140.03,,132.95,140.4,134.62,,,134.3,134.13,,,,133.54,141.65,133.35,132.0,134.07,133.72,134.83,137.36,131.79,133.51,133.82,133.98,134.04,135.72,138.67,134.84,135.47,,,135.68,135.45,,,138.48,
2013,2013,134.27,,133.65,,,,,,139.97,,132.17,138.28,136.06,,,132.7,130.65,139.07,140.4,,132.43,138.89,133.88,132.97,134.53,134.27,134.23,134.27,,,,138.04,134.67,136.82,,138.17,,,,,,,,,
2014,2014,132.39,,132.72,,,,,,,,131.24,134.95,132.59,140.58,,131.92,130.58,138.02,138.18,135.49,133.27,138.69,132.95,134.31,132.55,133.13,133.65,135.64,,,,,135.3,,,,,,,,,,,,
2015,2015,132.05,,133.48,139.71,139.52,,141.47,,,,132.54,133.05,132.16,136.7,141.11,130.51,128.45,134.81,136.38,135.06,132.69,135.93,132.28,132.82,134.09,,133.65,136.7,,,,,134.52,,,,,,,,,,,,
2016,2016,131.36,,130.31,136.46,136.28,,139.75,,138.7,,129.87,130.41,131.16,136.7,139.65,131.09,130.53,134.72,133.52,129.98,134.44,134.52,132.35,135.18,136.22,,,139.55,,,,,134.46,,,,,,,,,,,,
2017,2017,131.19,,127.91,137.23,134.08,141.25,137.56,,138.14,,131.42,129.99,133.6,136.03,137.52,132.42,133.5,135.31,132.42,135.91,135.09,133.65,133.75,136.26,140.46,,,141.37,,,,,134.43,,,,,,,,,,,,
2018,2018,130.7,,128.16,134.86,134.91,137.67,137.85,,,138.99,129.86,131.0,133.26,136.75,136.79,131.79,131.49,134.41,132.39,130.06,133.29,135.1,134.1,134.47,,,,140.56,,,,,,,,,,,,,,,,,
2019,2019,128.64,137.13,128.43,132.82,133.3,137.65,135.11,140.58,,138.06,130.23,130.61,132.17,132.9,134.79,132.13,136.21,132.66,133.01,,135.73,136.61,135.36,,,,,,,,,,133.61,,,,,,,,,,,,
2020,2020,130.62,134.53,129.59,133.22,134.44,136.74,136.34,138.68,135.31,135.82,130.08,132.25,133.2,134.3,135.67,131.25,131.75,133.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2021,129.85,132.13,128.52,131.43,132.67,134.9,134.65,134.27,135.4,134.9,129.55,132.65,132.86,133.13,133.57,,,133.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2022,130.01,130.27,130.7,131.04,133.48,133.74,133.95,134.03,134.36,134.55,,,,,,,138.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
