2015,難波実夢,MGニッシン,4:25.41,2016年03月17日(木)
2016,難波実夢,MGニッシン,4:25.00,2016年07月03日(日)
2017,難波実夢,都南,4:13.33,2017年08月19日(土)
2018,難波実夢,MGニッシン,4:09.78,2019年02月17日(日)
2019,難波実夢,MGニッシン,4:08.37,2019年05月30日(木)
2020,難波実夢,MGニッシン,4:10.22,2020年12月03日(木)
2021,難波実夢,ＪＳＳ,4:05.25,2022年03月02日(水)
2022,難波実夢,近畿大,4:07.43,2022年08月29日(月)
2016,小堀倭加,湘南工大附,4:12.90,2016年08月17日(水)
2017,小堀倭加,相模原ＤＣ,4:09.59,2017年08月26日(土)
2018,小堀倭加,湘南工大附,4:09.04,2018年08月11日(土)
2019,小堀倭加,ｾﾝﾄﾗﾙ戸塚,4:08.70,2019年05月30日(木)
2020,小堀倭加,ｾﾝﾄﾗﾙ戸塚,4:07.24,2021年02月04日(木)
2021,小堀倭加,JPN,4:05.57,2021年07月25日(日)
2022,小堀倭加,JPN,4:08.55,2022年06月18日(土)
2019,竹澤瑠珂,東京ＳＣ,4:22.60,2020年02月16日(日)
2020,竹澤瑠珂,東京ＳＣ,4:14.83,2021年02月21日(日)
2021,竹澤瑠珂,武蔵野中,4:10.56,2021年08月19日(木)
2022,竹澤瑠珂,JPN,4:10.13,2022年08月26日(金)
2013,望月絹子,とこはＳＳ,4:21.54,2013年11月10日(日)
2014,望月絹子,清水第六,4:16.59,2014年08月23日(土)
2015,望月絹子,清水桜が丘,4:16.83,2015年07月19日(日)
2016,望月絹子,清水桜が丘,4:16.60,2016年08月17日(水)
2017,望月絹子,とこはＳＳ,4:16.34,2017年04月13日(木)
2018,望月絹子,神奈川大,4:11.51,2018年09月07日(金)
2019,望月絹子,神奈川大,4:10.34,2020年02月02日(日)
2020,望月絹子,神奈川大,4:08.43,2020年12月03日(木)
2021,望月絹子,神奈川大学,4:10.17,2022年03月02日(水)
2022,望月絹子,鈴与株式会社,4:10.47,2022年04月28日(木)
2014,古八優季,ＫＴＶ豊中,4:24.73,2014年10月25日(土)
2015,古八優季,ＫＴＶ豊中,4:22.60,2015年08月25日(火)
2016,古八優季,太成学院大高,4:20.44,2016年07月24日(日)
2017,古八優季,太成学院大高,4:22.04,2017年07月24日(月)
2018,古八優季,ＫＴＶ豊中,4:22.67,2018年05月19日(土)
2019,古八優季,中京大,4:15.47,2019年09月06日(金)
2020,古八優季,中京大,4:14.95,2020年10月02日(金)
2021,古八優季,中京大,4:15.09,2021年10月08日(金)
2022,古八優季,中京大,4:11.10,2022年08月29日(月)
2019,奥園心咲,立命館宇治,4:24.79,2019年08月19日(月)
2020,奥園心咲,枚方ＳＳ,4:16.02,2021年03月07日(日)
2021,奥園心咲,枚方ＳＳ,4:12.07,2022年03月02日(水)
2022,奥園心咲,JPN,4:11.95,2022年08月26日(金)
2013,永島遥,スウィン大教,4:24.50,2013年08月29日(木)
2015,永島遥,白岡,4:19.55,2015年08月19日(水)
2016,永島遥,埼玉栄,4:18.92,2016年07月25日(月)
2017,永島遥,埼玉栄,4:14.87,2017年08月17日(木)
2018,永島遥,埼玉栄,4:14.33,2018年08月17日(金)
2019,永島遥,東洋大,4:16.79,2019年09月06日(金)
2020,永島遥,スウィン大教,4:16.08,2021年02月04日(木)
2021,永島遥,スウィン大教,4:13.85,2022年03月02日(水)
2022,永島遥,東洋大,4:12.22,2022年08月29日(月)
2017,岡村梨香,ｱｸﾗﾌﾞ堀之内,4:22.88,2018年02月18日(日)
2018,岡村梨香,中山,4:19.20,2018年08月19日(日)
2019,岡村梨香,ｱｸﾗﾌﾞ堀之内,4:20.09,2020年01月25日(土)
2020,岡村梨香,ｱｸﾗﾌﾞ堀之内,4:20.80,2021年02月21日(日)
2021,岡村梨香,八王子,4:14.25,2021年08月17日(火)
2022,岡村梨香,ｱｸﾗﾌﾞ堀之内,4:13.09,2022年04月28日(木)
2018,梶本一花,枚方ＳＳ,4:23.97,2018年06月10日(日)
2019,梶本一花,枚方ＳＳ,4:19.53,2020年02月02日(日)
2020,梶本一花,枚方ＳＳ,4:15.86,2021年02月04日(木)
2021,梶本一花,枚方ＳＳ,4:12.61,2022年03月02日(水)
2022,梶本一花,枚方ＳＳ,4:13.62,2022年04月28日(木)
2020,谷川亜華葉,イ ト マ ン,4:15.67,2021年02月21日(日)
2021,谷川亜華葉,ＪＡＰＡＮ,4:14.39,2021年06月03日(木)
2022,谷川亜華葉,イトマン近大,4:13.98,2022年04月28日(木)
2012,佐藤千夏,さいたま春野,4:18.21,2012年08月23日(木)
2013,佐藤千夏,スウィン大教,4:15.54,2013年05月25日(土)
