,難波実夢,小堀倭加,竹澤瑠珂,望月絹子,古八優季,奥園心咲,永島遥,岡村梨香,梶本一花,谷川亜華葉,佐藤千夏,増田葵,髙橋美来,五十嵐千尋,中村葵,伊藤悠乃,池本凪沙,柴田夏海,石井茉宏,白井璃緒,後藤真由子,長谷川鼓,白川有紗,池江璃花子,露内若葉,日下部玲奈,森山幸美,地田麻未,持田早智,和田麻里,牧野紘子,高野綾,宮本靖子,丸山夏輝,菊池優奈,清水史華,樋口恵夢,木村美咲,貴田裕美,伊藤愛実,小口綾乃,福島美里,藤野舞子,中村咲子,吉田篤代,関根理沙,矢野友理江,伊藤華英,太田明成,若浪和希,野中瑞姫,小川栞,岩下なつみ,倉松真子,後藤沙貴,宮澤遥,宮部加奈子,米永智香,柴田亜衣,奥田麻里奈,田井中千加,小野友愛
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.62,,,,260.46,,,,,,,253.73,,254.77,,253.65,253.3,262.24,262.72,251.56,,264.79,255.96,256.87,256.45,255.63,258.57,257.57,264.09,251.16,251.76,250.38,251.11,252.62,252.91
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.45,,262.1,,256.95,,,,,,,253.07,264.51,254.21,,258.55,253.94,261.6,254.61,253.85,,256.16,251.59,257.24,256.97,251.6,253.08,253.3,253.79,253.99,254.16,,259.17,257.79,261.56
2010,,,,,,,,,,,,,,263.23,,,,,,,,264.59,267.63,,,,263.32,253.17,,256.29,,255.57,263.96,,,,,256.61,252.8,266.16,255.52,254.55,253.14,253.48,256.77,257.44,253.22,255.53,253.29,253.7,254.33,255.4,259.43,265.24,257.65,256.05,259.21,256.22,,255.58,,259.35
2011,,,,,,,,,,,,264.65,,,,,,,,,,258.05,263.99,,,,,251.27,,253.97,,249.82,258.17,267.41,263.09,264.36,256.01,256.26,253.9,258.65,256.68,255.22,252.42,252.52,254.12,254.32,254.35,254.43,255.75,257.33,257.59,262.04,258.63,,261.48,258.72,259.27,257.45,,254.88,,258.28
2012,,,,,,,,,,,258.21,261.91,,254.43,,,,,258.81,,,253.37,262.05,,266.28,,256.43,250.72,,255.04,260.24,250.74,253.97,258.77,257.53,266.65,258.29,253.8,258.14,253.19,253.34,254.05,261.51,255.4,255.5,257.22,255.96,,258.33,255.93,254.68,263.3,,,258.6,259.91,263.39,,,261.36,,
2013,,,,261.54,,,264.5,,,,255.54,257.73,263.02,250.67,,,,,255.53,264.98,264.48,253.28,258.03,,,,256.12,252.46,260.58,253.28,,253.01,253.1,257.04,253.19,261.49,253.99,255.04,255.19,256.69,255.36,256.76,,,257.58,,,,256.13,,259.5,,,,260.23,260.1,,,,,,
2014,,,,256.59,264.73,,,,,,252.74,258.0,259.32,249.35,,260.71,,261.14,253.17,,265.3,252.83,257.05,258.92,259.36,262.22,253.23,249.64,257.72,251.34,255.04,251.64,254.49,257.23,253.17,252.97,257.84,256.57,260.46,257.09,,254.42,,,,,,,255.88,,259.01,,,,,260.87,,,,,,
2015,265.41,,,256.83,262.6,,259.55,,,,251.06,256.43,261.29,249.18,256.05,,,260.8,255.09,256.96,259.02,251.95,257.07,,253.62,260.95,254.67,250.13,254.43,251.68,252.07,251.97,253.15,253.21,253.61,255.7,,257.16,260.04,258.22,,256.02,,,,,,,256.41,,,,,,,,,,,,,
2016,265.0,252.9,,256.6,260.44,,258.92,,,,253.22,254.9,254.79,247.52,255.3,266.44,,252.79,251.61,,253.06,253.62,255.41,251.54,254.77,257.39,254.33,252.55,250.43,250.98,252.15,252.94,257.65,260.64,253.22,262.03,,259.58,261.06,257.75,,254.58,,,,,,,,,,,,,,,,,,,,
2017,253.33,249.59,,256.34,262.04,,254.87,262.88,,,250.93,253.6,256.17,248.28,254.14,254.52,267.2,253.69,253.73,256.0,253.73,252.84,256.9,249.29,251.77,252.88,252.98,252.98,260.88,258.87,258.15,253.37,,261.84,254.04,,266.83,,264.86,264.57,,253.82,,,,,,,,,,,,,,,,,,,,
2018,249.78,249.04,,251.51,262.67,,254.33,259.2,263.97,,253.35,252.53,254.04,248.48,253.82,256.79,260.75,251.48,250.54,253.82,251.29,251.91,253.31,,,,253.93,,,256.36,,254.1,,255.48,,262.04,,,,,,255.28,,,,,,,,,,,,,,,,,,,,
2019,248.37,248.7,262.6,250.34,255.47,264.79,256.79,260.09,259.53,,250.95,251.62,253.34,248.45,251.79,254.24,,251.14,251.73,252.29,253.54,260.84,,,,,252.83,,254.71,256.21,,253.87,,252.58,,,,,,,,260.54,,,,,,,,,,,,,,,,,,,,
2020,250.22,247.24,254.83,248.43,254.95,256.02,256.08,260.8,255.86,255.67,251.41,250.57,254.64,250.11,252.17,253.67,254.09,254.8,,,258.11,,,,,,255.07,,259.06,,,,,257.89,,,,,,,,260.55,,,,,,,,,,,,,,,,,,,,
2021,245.25,245.57,250.56,250.17,255.09,252.07,253.85,254.25,252.61,254.39,250.57,251.22,253.72,,257.36,264.06,,255.97,,257.89,260.67,,,260.89,,,255.67,,,,,,,,,,,,,,,262.99,,,,,,,,,,,,,,,,,,,,
2022,247.43,248.55,250.13,250.47,251.1,251.95,252.22,253.09,253.62,253.98,,,261.95,,256.0,,255.34,,,256.2,,,,261.7,,,256.38,,,,,,,,,,,,,,,264.52,,,,,,,,,,,,,,,,,,,,
