,col1,成田実生,大橋悠依,谷川亜華葉,小堀倭加,梶本一花,野井珠稀,鈴木彩心,佐藤梨央,松﨑りん,室木未菜,清水咲子,柏崎清花,中嶋碧,難波実夢,石原愛依,一戸真央,松本信歩,石井茉宏,大塚美優,高橋美帆,小嶋美紅,佐々木杏奈,牧野紘子,樋口恵夢,露内若葉,入澤愛,伊藤悠乃,岩嵜有加里,今井月,大本里佳,五十嵐千尋,谷口憂羅,山田千尋,藤野舞子,上田奈美希,田中瑞穂,高久彩,上田桜子,加藤和,打越雅美,末永京香,橋口若葉,渡辺彩,坂井菜穂子,森川愛理,倉松真子,山?ゆか,嘉陽文香,作道舞,春口沙緒里,天野美沙,中村咲子,北川麻美,柏木佳津
2008,2008,,306.02,,,,,,,,,292.9,,,,,,,,289.47,287.23,,,,,,,,,,,296.36,,,280.14,295.17,298.87,295.19,,280.52,286.33,290.88,294.62,,285.02,287.13,291.4,288.36,285.74,287.87,278.94,284.13,284.18,285.74,286.3
2009,2009,,296.17,,,,,,,,,287.88,,,,,,,,287.12,279.46,,,,,,,,289.18,,,288.53,,291.93,280.47,294.74,294.26,292.0,,283.68,279.05,286.01,290.53,289.3,280.4,283.8,281.02,282.26,282.51,283.45,,,293.41,,290.31
2010,2010,,300.07,,,,,,,,,287.41,,,,,,,,282.43,279.87,,,,289.64,293.45,,,287.89,,,286.89,298.86,290.83,283.97,302.46,291.62,290.64,294.8,279.76,285.41,285.29,286.01,286.12,286.38,286.78,289.26,,294.07,291.14,,,299.22,,291.8
2011,2011,,,,,,,,,,,283.42,,,,,,,,278.05,281.5,,,296.58,282.45,292.57,303.81,,284.45,,287.86,284.94,,290.99,281.69,286.01,290.35,291.8,288.87,280.52,283.46,280.61,287.03,285.88,,287.69,292.16,,295.26,285.1,,,,,
2012,2012,,286.27,,,,,,,,,281.42,299.63,,,,,,290.34,276.64,277.71,,,282.91,281.05,282.58,300.35,,288.18,296.49,286.91,283.3,290.7,289.86,278.55,285.31,286.24,288.18,287.99,281.82,282.01,282.67,287.05,286.74,,291.51,285.2,,295.47,285.4,,,,,
2013,2013,,286.04,,,,,,,,,280.35,297.16,,,,301.9,,288.31,276.87,280.04,295.86,295.78,285.4,280.14,284.91,291.03,291.77,287.82,,291.58,,284.09,287.34,283.44,284.0,284.33,284.41,284.55,,287.37,286.13,286.72,287.91,,287.09,285.39,,298.13,,,,,,
2014,2014,,292.55,,,,,,,,299.8,276.86,293.42,,,,298.23,,287.21,279.65,275.69,287.32,289.64,281.92,282.38,281.66,288.73,291.12,284.26,286.7,282.13,,282.34,282.97,,284.46,285.06,,290.51,,,,289.61,290.2,,290.5,,,,,,,,,
2015,2015,,281.16,,,,,,,,292.41,275.04,292.72,,,296.12,291.61,293.13,284.9,278.1,278.13,286.11,285.36,280.14,280.42,280.19,286.05,283.55,283.58,284.55,282.71,283.06,289.78,287.23,,284.75,284.44,,283.88,,,,,286.69,,,,,,,,,,,
2016,2016,,275.35,297.08,291.74,,,,,,285.33,274.66,288.0,,,288.23,288.27,292.65,283.15,280.3,275.55,282.5,283.34,276.61,284.33,281.26,282.08,290.47,280.85,281.52,,287.94,297.26,287.54,,,285.72,,283.3,,,,,,,,,,,,,,,,
2017,2017,,271.42,288.38,290.97,302.15,299.55,,,302.87,283.18,275.62,288.03,,295.65,286.85,287.15,,282.34,284.63,279.26,279.14,280.99,281.44,288.71,279.67,281.6,282.81,,,290.09,,297.0,285.75,,,,,283.63,,,,,,,,,,,,,,,,
2018,2018,,270.82,286.27,285.6,296.69,292.38,296.79,291.2,292.89,282.3,276.27,290.89,,289.4,285.43,289.75,,283.2,280.22,278.57,280.96,281.9,282.48,284.99,,286.36,290.61,293.3,,,,301.07,288.23,,,,,,,,,,,,,,,,,,,,,
2019,2019,,272.33,279.49,283.56,292.41,289.61,288.7,290.88,288.91,283.35,278.05,282.19,296.22,,283.56,282.88,287.3,282.49,284.89,285.32,285.86,289.47,286.15,,,285.55,,292.9,,,292.43,,,,,,,,,,,,,,,,,,,,,,,
2020,2020,285.82,276.27,281.33,283.04,284.52,290.41,288.02,286.56,291.02,282.5,276.77,283.54,291.12,,,283.1,284.77,,,297.45,,288.54,291.45,,,288.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2021,276.71,272.08,276.45,278.9,282.05,290.04,284.63,283.44,287.47,284.89,278.11,280.82,281.67,281.93,282.38,283.73,289.02,,,,,286.98,288.32,,,287.9,,,291.75,,,,,306.67,,,,,,,,,,,,,,,,,,,,
2022,2022,276.79,277.99,278.14,280.16,280.3,282.48,282.9,282.93,285.04,285.27,,,285.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
