,高橋美紀,伊與田萌々,佐々木美莉,山﨑光,長岡愛海,白井璃緒,澤響花,竹葉智子,伊東開耶,渡会円香,小西杏奈,秀野由光,平井瑞希,秀野加奈,酒井夏海,伊与田萌々,諸貫瑛美,片桐珠実,竹村幸,竹内澪乃,古林毬菜,池江璃花子,森万柚子,寺本瑠美,稲田法子,竹迫麻澄,泉原凪沙,安田広佳,山口真旺,酒井志穂,福井友理菜,赤瀬紗也香,寺村美穂,鍵矢遥菜,小林江舞,出川友理江,寺川綾,平井稚菜,辻本茉穂,池田実加,中村桃子,田部井恵理,岸本梨沙,清水梓帆,吾郷渚,神村万里恵,伊藤華英,有田真紀,酒井志穗,高橋知美,堀江彩香,赤木彩乃,中村礼子,應田花歩,加藤由衣
2008,,,,,,,,,,,,,,,,,29.97,,,,,,,,,31.08,,,30.19,,30.29,30.03,31.44,31.46,30.14,30.04,28.11,29.23,30.38,28.79,31.39,28.69,,30.04,30.43,29.93,,29.4,27.97,28.95,30.03,30.02,28.25,29.1,29.77
2009,30.56,,,,,,,,,,,,,,,,29.6,,28.26,,,,31.17,30.81,,29.89,,,29.41,,30.48,29.75,,30.83,29.66,30.15,27.78,28.88,28.68,29.06,30.09,28.5,30.42,29.3,29.67,29.4,,29.46,28.03,28.74,29.1,29.23,,29.99,30.04
2010,30.32,,,,,,,,,,,,,,,,29.97,,28.4,30.56,,,31.16,30.37,28.64,30.19,,,29.44,28.6,29.53,29.41,30.2,29.91,29.46,29.4,28.05,28.9,29.6,29.97,29.98,28.9,30.02,29.23,29.69,29.03,29.16,29.22,,,,29.39,,30.02,30.99
2011,29.82,,,,,30.85,,,,,31.0,,,,,,30.29,,28.53,30.37,31.21,,30.44,30.46,28.57,29.74,,,29.13,28.38,29.94,29.28,,29.78,29.13,29.32,27.79,29.09,29.22,29.43,29.24,28.73,28.91,28.94,29.02,29.28,,,,,,29.73,,30.36,
2012,29.57,,,,,29.94,,,,,29.97,,,,,,29.27,,28.63,29.25,,,30.24,30.57,,29.88,,30.73,29.5,28.87,30.11,,,29.62,29.69,29.62,27.71,29.14,29.18,29.22,29.29,,29.6,30.19,,29.54,,,,,,29.44,,30.48,
2013,29.25,,,,,29.32,,,,,29.42,,,31.07,29.95,,28.71,31.01,28.81,29.24,,,29.45,30.61,28.78,29.68,,,28.91,,30.46,28.91,,28.48,29.13,29.46,26.06,28.87,29.48,,29.5,,29.96,,,30.13,,,,,,29.77,,,
2014,29.12,,,30.95,,29.47,,,,,29.23,30.36,,30.18,29.15,30.39,28.57,,28.27,29.73,30.96,,29.09,30.19,28.42,28.73,29.17,29.69,28.98,29.18,29.52,29.0,27.62,28.77,29.02,29.05,,,29.34,29.58,29.38,,29.43,,,29.87,,,,,,30.22,,,
2015,29.05,,,30.45,,29.63,,,,30.65,29.67,29.87,,29.41,28.43,29.72,28.11,29.81,28.33,29.7,30.84,29.77,28.56,30.34,28.29,28.7,29.06,28.98,28.9,28.56,28.68,28.94,,29.34,29.07,28.95,,,,30.02,29.27,,29.76,,,29.89,,,,,,29.88,,,
2016,28.78,,30.74,29.56,,29.38,,,,30.32,30.22,29.45,,29.49,28.65,29.42,28.14,29.11,28.62,29.27,30.49,29.13,28.78,29.61,,28.6,28.82,28.96,29.03,,,29.17,,,29.4,,,,29.72,,,,,,,29.45,,,,,,30.45,,,
2017,28.74,,29.62,28.78,,29.5,,,,30.07,28.79,29.16,,29.48,27.93,29.63,27.95,29.02,28.15,29.26,30.07,,28.71,29.52,28.46,28.57,28.75,29.24,29.21,,,29.45,,,30.39,,,,30.32,,,,,,,,,,,,,,,,
2018,28.61,,29.43,28.8,29.56,,30.84,,31.18,29.65,28.37,28.98,,29.04,27.82,29.54,28.12,28.5,28.44,29.33,29.54,28.2,28.77,28.8,,,28.98,29.52,,,,28.86,,,31.12,,,,30.09,,,,,,,,,,,,,,,,
2019,28.4,,28.75,29.08,30.18,28.29,30.21,29.28,30.87,29.72,28.67,29.04,29.43,29.0,28.08,29.73,28.27,28.86,28.4,28.78,28.81,,29.54,,,,29.38,29.58,,,,29.16,,,,,,,,30.95,,,,,,,,,,,,,,,
2020,28.24,,28.79,28.64,29.2,28.66,29.41,,,29.61,29.15,28.93,29.21,28.36,28.18,28.26,28.41,28.95,,,29.22,,29.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,28.09,28.53,28.47,28.22,,28.87,29.14,30.06,28.21,28.94,28.32,28.81,28.81,28.86,28.87,,29.31,29.14,,,,29.37,29.74,,,,28.99,,,,,29.3,,,,,,,,,,,,,,,,,,,,,,,
2022,28.4,28.49,28.58,28.65,28.7,28.75,28.89,28.98,29.0,29.07,29.14,29.17,29.11,,,,,29.15,,,29.66,,30.49,,,,,,,,,29.72,,,,,,,,,,,,,,,,,,,,,,,
