,青木玲緒樹,鈴木聡美,髙﨑有紀,斎藤千紘,宮坂倖乃,岡田侑奈,緒方温菜,深澤舞,星萌々花,吉田杏子,渡部香生子,寺村美穂,髙橋陽向,賀部寿音,関口美咲,磯部沙綾,岸愛弓,千田舞奈美,五十嵐千尋,細越智,石田華子,照喜納志帆,金藤理絵,金指美紅,平松夏奈,松島美菜,鷲野萌香,小林明日香,埜下左知代,浜野麻綾,生山咲,杉山沙侑南,茂木美桜,笹木愛恵,杉崎可奈,川辺芙美子,福田愛美,野瀬瞳,田村菜々香,押川里奈,渡辺紗稀,三輪芳美,佐藤かほり,坂口結子,種田恵
2008,34.08,32.56,,,,,,,,,,34.08,,,33.83,,,,,33.37,,,33.5,33.22,,32.78,34.04,32.7,32.76,,34.97,31.98,34.89,33.33,32.33,,33.22,32.75,32.34,,32.87,32.32,32.54,32.59,32.6
2009,33.5,31.54,,,,,,,,,,33.09,,,33.09,,,,,32.19,,34.38,32.28,33.16,,31.81,33.12,32.29,31.73,32.08,33.59,31.9,33.47,33.12,31.54,33.07,32.57,31.41,31.41,33.27,32.1,32.47,32.25,33.03,32.22
2010,33.3,31.7,,,,,,,,,33.53,,,,32.8,,34.22,,,33.07,,33.16,33.34,32.93,34.09,31.83,32.77,32.76,32.29,32.67,33.39,31.76,33.21,32.34,31.94,31.91,32.95,32.03,31.84,32.37,,,33.26,34.29,32.77
2011,33.19,31.4,33.29,,34.1,,,34.51,,,31.83,,,,32.1,,33.11,,,33.1,33.91,33.32,32.53,31.92,34.15,32.02,32.54,32.38,31.97,32.74,33.56,32.58,32.94,32.92,32.21,32.28,32.34,32.35,33.01,32.58,,,,,32.94
2012,33.33,31.73,32.79,,33.46,,,34.01,,,32.17,,,,32.49,,32.57,,,32.93,33.47,33.25,32.62,32.33,32.66,31.96,33.97,32.26,33.4,32.27,33.47,32.91,32.2,32.21,32.33,,,33.29,,,,,,,
2013,33.76,31.57,32.74,34.07,34.34,,,33.13,,,31.94,32.48,,,32.53,,32.63,,,32.3,32.5,32.79,31.35,32.03,32.48,32.26,32.85,32.22,32.28,32.11,32.24,32.38,32.14,32.27,32.59,,33.6,32.62,,32.72,,,,,
2014,32.99,31.04,32.15,34.22,31.6,34.36,,33.11,,34.24,31.33,,,,32.46,,32.65,34.32,,32.46,33.14,32.36,31.77,31.83,32.37,31.31,32.96,32.05,32.33,31.43,31.93,32.08,32.85,32.45,32.98,,33.9,,32.56,,,,,,
2015,32.04,30.96,32.39,,31.15,33.33,33.96,32.31,,32.8,31.07,,,34.06,31.62,34.09,32.15,,,32.22,33.32,32.75,31.8,31.88,32.18,30.83,31.62,31.77,31.89,32.14,,,,,33.41,,,,32.15,,,,,,
2016,31.34,30.97,32.29,33.67,31.65,33.13,33.1,32.94,,32.86,31.38,31.36,,34.01,31.39,32.67,32.57,34.66,,32.1,32.93,31.97,31.98,31.99,31.99,,,,32.67,,,,,,33.46,,,,,,,,,,
2017,31.34,30.66,31.85,33.22,31.84,33.48,33.12,32.37,,32.35,31.34,31.45,34.21,33.1,31.9,31.99,32.45,,32.75,32.11,32.18,32.26,,,33.09,,,,33.26,,,,,,33.2,,,,,,,,,,
2018,30.98,30.64,31.19,33.05,31.87,33.22,32.55,31.91,34.19,33.12,31.05,30.96,,33.28,31.65,31.84,32.24,32.55,31.84,32.32,32.05,32.27,,,32.77,,,,,,,,,,,,,,,,,,,,
2019,30.78,30.86,30.94,32.18,31.64,32.98,32.82,31.69,33.2,32.72,31.43,31.3,,32.4,31.51,32.29,31.65,31.89,,33.39,32.11,,,,33.27,,,,,,,,,,,,,,,,,,,,
2020,30.81,31.14,30.96,32.49,31.1,32.77,32.4,,33.12,32.69,31.74,31.93,32.37,31.97,32.02,32.13,,,,32.98,32.86,,,,,,,,,,,,,,,,,,,,,,,,
2021,30.27,30.69,31.18,30.9,31.35,31.81,31.84,31.59,32.13,31.89,31.17,31.41,31.46,32.52,32.08,,,32.11,32.91,33.12,32.34,,,,,,,,,,,,,,,,,,,,,,,,
2022,30.71,30.94,31.4,31.45,31.68,31.79,31.81,31.94,31.98,32.0,,,,32.69,,,,,,33.3,33.08,,,,,,,,,,,,,,,,,,,,,,,,
