,池江璃花子,廣下菜月,相馬あい,津田萌咲,大本里佳,平井瑞希,西村麻亜,仲田葵,山本茉由佳,松本信歩,五十嵐千尋,平山友貴奈,西津亜紀,黒木満佐子,新野杏奈,高橋美紀,大内紗雪,大橋悠依,寺村美穂,山根優衣,岡野圭穂,竹村幸,竹迫麻澄,佐藤綾,内田美希,田辺詔子,福田智代,天野祐梨菜,山川唯巴,瀬倉未智,長谷川涼香,山口美咲,星奈津美,小林明日香,細田梨乃,播磨季美,山﨑美里,吾郷みさき,藪仁美,加藤ゆか,朝野絢子,菊地ゆめみ,小松原彩香,田村美紅,永井栞歩,佐藤咲季,湯本杏,土肥亜也子,宮本悠衣,山崎美里,熊崎弥生,黒木綾乃,奥村綾香,宮竹由紀,押味正恵,山本裕紀子,正田千登勢
2008,,,,,,,,,,,29.04,29.67,,,,29.54,,,29.03,29.31,,29.12,,,28.77,,,,,28.09,,,27.55,28.32,27.88,28.82,,27.19,28.18,26.34,28.9,28.09,27.76,,28.24,,,26.91,26.8,28.2,28.13,,27.77,27.28,27.27,27.57,27.67
2009,,,,,,,,,,,28.75,28.99,,28.18,,28.84,,,,28.33,,,,,28.06,28.22,,,,27.86,,,,28.05,27.04,28.16,,26.74,27.97,26.47,28.36,28.03,28.09,,27.7,,,26.65,26.97,27.03,27.1,27.14,27.18,27.21,,,27.41
2010,,,,,,,,,,,,28.42,,27.48,,28.7,,,27.83,27.82,,,,,28.51,28.21,27.12,,,27.61,,,,28.56,26.78,28.47,27.5,27.06,27.95,26.37,28.18,27.59,28.56,29.0,27.19,27.54,27.71,27.27,,,28.5,,27.78,27.96,,,27.93
2011,,,,,,,,,,,,28.31,,27.21,,28.26,,28.56,27.35,27.24,,,,29.08,28.33,28.77,27.56,,,28.17,,,27.45,,26.86,27.92,27.67,27.15,28.03,26.07,27.4,27.43,28.09,28.46,27.22,27.24,27.28,,,,,,,,,,
2012,,,,,28.29,,,,,,,27.51,,27.68,,27.97,,,29.18,27.47,,,,,27.79,28.0,27.0,,,27.72,28.07,,,,27.48,28.22,27.41,27.37,28.26,25.95,27.58,27.33,27.35,27.5,27.71,,,,,,,,,,,,
2013,,,,,,,28.22,,,,,27.95,,27.2,,27.58,,28.88,27.74,27.93,,,,28.07,27.31,27.52,27.12,28.61,28.78,27.81,28.17,,27.2,,27.18,27.92,27.22,26.89,27.3,26.1,27.34,,27.92,27.88,27.76,,,,,,,,,,,,
2014,26.71,,,28.85,,,27.75,,,29.02,,27.4,,26.91,28.73,27.42,28.39,,27.35,26.78,,27.42,,27.9,26.2,27.77,26.66,28.25,27.83,28.11,27.54,26.76,27.92,27.4,27.01,27.28,26.93,27.08,27.21,,28.72,,,27.92,27.59,,,,,,,,,,,,
2015,26.17,,,28.07,,,27.74,,,,,27.09,,26.78,,27.47,27.92,27.73,27.55,,,26.89,,27.41,26.23,27.47,26.78,,27.67,27.39,27.78,26.5,26.89,26.92,26.94,27.05,,27.33,27.1,,,,,27.56,27.09,,,,,,,,,,,,
2016,25.5,,28.5,28.0,27.59,,27.98,,,28.11,,26.66,,,27.9,27.92,27.95,,27.71,26.72,27.59,,,,26.73,26.8,26.87,27.17,27.21,27.23,27.35,,,,27.62,,,,27.37,,,,,27.97,28.03,,,,,,,,,,,,
2017,25.44,,26.56,27.87,28.18,,27.71,,,,27.24,26.51,27.27,27.69,27.19,27.46,26.59,,27.23,26.96,26.71,26.82,26.95,27.04,,,,27.98,27.28,27.2,27.39,,,,28.03,,,,27.28,,,,,,,,,,,,,,,,,,
2018,25.25,28.21,26.42,27.42,26.99,28.4,27.39,28.78,26.7,28.1,27.17,26.22,27.09,27.2,26.95,27.44,26.58,26.54,26.8,26.8,27.4,27.13,,27.18,,,,,27.55,27.35,27.16,,,,,,,,27.52,,,,,,,,,,,,,,,,,,
2019,,27.11,26.13,26.75,26.38,27.62,27.29,28.41,26.44,,26.82,25.98,26.47,26.33,26.65,26.81,26.52,26.71,27.05,27.03,,28.17,,26.93,,,,,27.89,27.75,26.97,,,,,,,,27.47,,,,,,,,,,,,,,,,,,
2020,25.77,26.97,26.47,26.67,27.23,27.06,26.94,26.83,26.36,,,26.5,26.25,26.63,26.89,26.52,27.42,,,26.89,,,,,,,,,28.28,27.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,25.56,26.57,25.76,26.35,27.22,26.93,27.0,26.87,26.39,27.21,26.11,26.29,26.45,26.53,26.59,26.91,27.89,26.71,,,,,,,,,,,28.26,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,25.49,26.4,26.42,26.7,26.77,26.8,26.81,26.9,26.98,26.98,,,,27.23,28.21,27.21,,27.14,,,,,,,,,,,27.96,,27.27,,,,,,,,,,,,,,,,,,,,,,,,,,
