,池江璃花子,五十嵐千尋,山本茉由佳,池本凪沙,神野ゆめ,大嶋千桜,今牧まりあ,大本里佳,込山瞳,松本信歩,持田早智,山根優衣,久保田梨琉,高橋美紀,今井月,荒川葵,酒井夏海,佐藤綾,大内紗雪,青木智美,野呂優花,相馬あい,西津亜紀,岡野圭穂,森万柚子,諸貫瑛美,住岡叶夢,内田美希,松本弥生,田辺詔子,山口美咲,埜下左知代,住吉茉莉,細田梨乃,押川里奈,吾郷みさき,上田春佳,岩本愛結,雨宮未侑,下中千明,伊藤華英,萩原智子,長谷川菜月,湯本杏,前原優理,谷口実雅子,齋藤真里枝,金子栞,岩?佐代子,山田香,水落夏海,山田千夏,植田富祐美,中村望美,柴谷利奈
2008,,26.65,,,,,,,,,,,,,,,,,,,,,,,,,,26.31,26.41,26.53,26.48,26.77,27.1,27.13,27.07,,26.09,,27.12,26.02,,,26.16,25.68,,27.28,26.74,25.84,,25.71,25.85,25.87,25.98,25.99,26.11
2009,,26.17,,,,,,,,,,,,27.05,,,,,,,,,,,,,,25.77,26.11,25.96,25.35,26.26,26.79,26.39,25.9,26.34,25.74,,26.26,25.87,,25.24,25.9,25.52,25.83,26.69,25.6,25.69,25.78,,26.31,,26.41,26.07,
2010,,26.81,,,,,,27.3,,,,26.7,,27.04,,,,,,27.37,,,,,,,,25.89,25.46,25.73,26.0,26.62,26.45,26.37,25.79,26.58,25.69,,26.11,25.87,25.88,25.88,25.78,25.89,26.02,26.68,25.89,25.98,,,26.42,,26.95,26.24,
2011,,26.46,,,,,,,,,,25.93,,26.83,,,,26.79,,27.25,,,,26.75,,,,25.59,25.18,26.05,26.23,26.69,26.49,26.14,25.93,26.04,25.61,26.9,25.49,26.14,26.14,25.59,26.05,25.43,25.81,25.88,26.08,26.02,,,,,,,
2012,,26.54,,,,,,27.23,,,26.94,26.13,,26.56,,,,26.21,,26.47,,,,26.81,,,,25.33,25.37,25.7,26.4,26.72,25.79,26.07,25.85,25.57,25.17,26.36,25.61,25.49,25.6,25.67,25.68,,,,26.33,25.9,,,,,,26.66,
2013,26.46,26.3,26.65,,,,,26.71,,,26.27,25.83,,26.19,27.22,,,25.98,,26.82,,,,26.45,,,,26.23,25.46,25.67,25.76,26.26,25.75,25.96,26.06,25.5,25.13,25.95,25.95,,,,,,,,,26.26,,,,,,26.41,
2014,25.47,,26.14,,,,,,,,25.98,25.73,,26.07,26.36,,,25.72,26.71,26.22,26.88,,,26.39,,27.1,26.75,25.02,25.42,25.72,25.56,26.02,25.82,25.72,25.73,25.76,,26.61,,,,,,,,,,,,,,,,,
2015,24.74,26.1,25.75,,,,,26.35,27.12,,26.15,25.39,,26.1,25.67,26.2,,25.58,25.75,25.87,26.51,26.91,,26.08,26.5,26.64,26.39,24.95,25.19,25.77,25.64,25.6,25.66,25.7,25.88,26.11,,26.56,26.53,,,,,,,,,,,,,,,,
2016,24.48,26.35,26.04,26.85,,,,,25.93,,26.11,25.43,27.14,26.4,25.32,26.23,27.14,25.44,25.07,25.93,26.1,26.41,25.81,25.73,26.34,26.13,25.9,25.09,25.53,25.57,25.61,26.32,,26.46,,,,25.87,,,,,,,,,,,,,,,,,
2017,24.33,25.38,25.66,25.85,27.03,,26.55,26.31,26.15,26.83,26.51,25.36,26.49,26.13,25.4,26.12,26.66,25.47,25.07,25.72,26.11,25.81,26.0,25.29,25.54,25.58,25.61,,26.53,,,26.98,,26.31,,,,25.83,,,,,,,,,,,,,,,,,
2018,24.21,25.5,25.23,25.75,26.87,,26.61,25.28,26.36,26.19,26.14,25.41,26.42,25.95,,25.78,26.41,25.26,25.25,25.24,25.9,25.95,25.57,25.28,25.92,26.1,25.69,,,,,,,,,,,26.04,,,,,,,,,,,,,,,,,
2019,,25.19,25.57,25.5,26.17,26.23,26.0,24.97,25.59,25.83,25.96,25.68,26.19,25.86,25.0,25.82,,25.01,25.28,25.32,25.42,25.51,25.55,,26.54,26.23,25.67,,25.63,,,,,,,,,26.41,,,,,,,,,,,,,,,,,
2020,24.91,24.99,25.48,25.67,25.53,25.96,25.84,24.75,25.48,26.74,,25.6,26.35,25.61,24.93,25.45,25.5,25.8,25.72,25.75,25.77,25.87,25.97,,26.62,27.09,26.15,,25.74,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,24.84,24.98,25.16,26.11,25.39,25.74,25.4,25.0,25.41,25.94,25.22,25.29,25.33,25.38,25.9,25.86,26.26,26.02,26.36,25.59,25.85,25.52,25.83,,,26.37,27.05,,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,24.78,25.05,25.25,25.26,25.29,25.34,25.37,25.38,25.4,25.49,,,25.7,25.97,,25.95,26.52,,,26.2,,25.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
