,小堀倭加,難波実夢,竹澤瑠珂,古八優季,蝦名愛梨,中村葵,望月絹子,青木虹光,森山幸美,岡村梨香,佐藤千夏,谷川亜華葉,梶本一花,山本美杏,五十嵐千尋,内田真樹,赤嶺梨緒,後藤真由子,石井茉宏,白川有紗,小林楓,上田桜子,福島美里,中山実穂,和田麻里,高橋美帆,地田麻未,菊池優奈,濱田結菜,貴田裕美,水谷利花子,渡辺美根,藤本華,藤野舞子,小口綾乃,樋口恵夢,中村咲子,神村万里恵,矢野友理江,長谷川鼓,浅山美貴,奥田麻里奈,米永智香,若浪和希,野中瑞姫,岩下なつみ,宮部加奈子,小川栞,倉松真子,宮澤遥,柴田亜衣
2008,,,,,,,,,,,,,,,,,,,,,,,,,,533.73,523.16,,,522.2,,537.23,,514.17,524.81,,519.94,,511.05,,,512.24,518.27,,523.77,,520.32,522.87,533.8,532.92,508.69
2009,,,,,,,,,,,,,,,,,,,,,,,,,536.52,528.07,523.89,,,514.55,,,,513.57,522.57,,519.95,,515.83,,543.85,522.44,516.64,,529.55,515.29,518.71,520.66,521.11,522.08,
2010,,,,,,,,,533.38,,,,,,537.15,,544.24,,,,,,524.66,557.36,531.83,523.62,517.86,,,516.78,,530.42,,514.91,518.29,545.18,516.42,,522.24,544.18,530.88,522.06,518.21,520.96,523.48,532.33,529.57,526.46,546.35,527.52,
2011,,,,,,,,,538.53,,,,,,,,533.47,552.47,,,,,519.06,554.25,521.59,520.46,513.93,,,521.3,,531.56,,515.59,523.97,540.63,520.09,526.73,,545.07,521.94,522.75,522.93,529.24,525.5,526.66,527.0,533.42,,534.91,
2012,,,,,,,,,522.63,,535.6,,,,,,529.01,,,537.58,,533.61,524.24,533.14,527.92,,512.37,,,527.8,,529.71,553.81,511.3,520.02,521.0,520.14,520.63,521.44,522.48,524.79,541.0,,531.01,525.9,,,540.96,,535.33,
2013,,,,,,,543.65,,524.39,,524.59,,,,523.01,,536.26,542.63,532.33,532.26,,531.63,528.12,529.02,519.17,,518.31,525.35,541.78,528.89,540.86,524.14,535.83,516.13,521.26,521.92,,525.42,,529.09,531.43,,,,541.05,,,,,538.98,
2014,,,,545.41,,,526.28,,517.84,,521.42,,,,520.13,,533.24,,520.81,527.03,549.48,537.32,524.09,527.51,519.15,524.08,514.66,515.69,532.08,526.35,522.0,523.39,523.78,,,,,,,526.85,537.39,,,,,,,,,543.49,
2015,545.09,,,540.91,,523.28,534.02,,520.98,,512.96,,,,519.26,544.15,528.94,532.43,526.66,528.97,547.15,546.05,525.14,532.98,514.73,523.15,515.29,517.51,524.27,524.84,536.02,,525.15,,,,,,,534.62,544.92,,,,,,,,,,
2016,521.52,,,534.53,542.05,521.86,535.01,,513.98,,522.69,,,,,525.52,527.94,519.56,526.35,523.08,528.22,524.89,523.65,527.91,514.8,516.84,517.08,519.82,528.02,530.61,535.3,,528.63,,,,,,,529.87,556.14,,,,,,,,,,
2017,515.64,532.9,,539.04,543.55,518.3,525.47,,512.1,,512.52,,550.89,527.97,527.02,528.62,526.27,518.54,520.6,521.36,525.0,520.7,521.41,522.22,522.99,,524.61,524.37,537.66,527.21,,,529.77,,,,,,,,,,,,,,,,,,
2018,510.65,515.94,,539.97,538.76,517.85,516.86,534.82,511.44,,517.78,,539.5,521.01,,531.05,526.63,517.63,519.45,520.23,520.77,,527.37,524.05,523.56,532.87,,,527.53,531.79,,,529.26,,,,,,,537.21,,,,,,,,,,,
2019,507.92,507.24,,522.82,540.12,515.84,515.6,528.88,512.4,,516.26,,532.58,523.32,518.59,521.84,521.85,522.24,525.41,,522.63,,533.3,,522.97,,,,528.51,533.59,,,528.38,,,,,,,559.17,,,,,,,,,,,
2020,507.08,515.62,,524.57,527.74,517.09,512.68,521.4,515.29,,524.63,533.56,523.78,524.08,,527.32,528.46,537.99,,,532.35,,534.76,,,,,,,,,,527.66,,,,,,,,,,,,,,,,,,
2021,506.67,506.61,516.71,522.22,527.55,526.91,512.77,517.67,519.74,,513.41,520.25,521.32,521.37,,529.73,531.96,,,,534.74,,544.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,512.06,512.91,516.67,518.54,521.3,521.82,522.21,522.33,523.37,523.83,,524.74,525.1,,,538.23,,,,,527.21,,545.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
